System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

Dual AGN Candidate,NGC 5548,NGC 5548,Optical Spectroscopy,,0.01627,spec,14:17:59.5401093128,+25:08:12.600227883,J2000,Optical,Gaia,13.73,V,mag,NGC 5548,0.01627,spec,14:17:59.5401093128,+25:08:12.600227883,Optical,Gaia,13.73,V,mag,0.60388229,,Peterson+1987,1987ApJ...312L...1P,https://doi.org/10.1086/184808,Distinct BLR emitting regions can be plausibly explained via a dual AGN scenario. Not conclusive at this point. Redshift adopted from Simbad.

Binary Quasar / Lens,0023+171,0023+171 AB_opt,,Radio Imaging / Optical Spectroscopic Follow-up,0.946,spec,00:25:36.971,+17:28:04.97,J2000,Optical,SDSS,21.91,B,mag,0023+171 C,0.946,spec,00:25:36.971,+17:28:04.97,Optical,SDSS,21.91,B,mag,4.8,,Hewitt+1987,1987ApJ...321..706H,https://doi.org/10.1086/165663,Separation of optical sources AB_opt and C is 4.8 arcsec but separation of radio sources is roughly 5.9 arcsec. Coordinates come from Simbad (and originally from SDSS).

Binary SMBH Candidate,Arp 102B,Arp 102B,,Optical Spectroscopy,0.02417,,17:19:14.4925747,+48:58:49.426017,J2000,Radio,VLBA,14.81,V,mag,Arp 102B,0.02417,,17:19:14.4925747,+48:58:49.426017,Radio,VLBA,14.81,V,mag,0.4104008,,Halpern+1988 ; Miller+1990,1988Natur.331...46H ; 1990ApJ...361...98M,https://doi.org/10.1038/331046a0 ; https://doi.org/10.1086/169170,Halpern+1988 test binary hypothesis based on offset broad emission line but no firm conclusion made. Other papers conclude that bianry hypothesis can be ruled out. Coordinates from Simbad. Redshift from Ned agrees with Simbad to 3 decimal points.

Binary SMBH Candidate,OJ 287,OJ 287,Optical Monitoring / Light Curve Variability,Optical Monitoring / Light Curve Variability,0.306,spec,08:54:48.8749311881,+20:06:30.642936668,J2000,Optical,Gaia,15.43,V,mag,OJ 287,0.306,spec,08:54:48.8749311881,+20:06:30.642936668,Optical,Gaia,,,mag,2.2146e-5,1.e-4,Salanpää+1988,1988ApJ...325..628S,https://doi.org/10.1086/166033,Proposed as a SMBH binary with separation ~0.1pc.

Binary Quasar / Lens,1343.4+2640,1343.4+2640A,Plate identification,Spectroscopy,2.0312,spec,13:45:43.6422351780,+26:25:06.826057566,J2000,Optical,Gaia,20.22,V,mag,1343.4+2640B,2.0313,spec,13:45:44.500,+26:25:06.00,Optical,KODIAQ,19.68,V,mag,9.5,,Crampton+1988 ; Crotts+1994 ; Dinshaw+1994,1988ApJ...330..184C ; 1994ApJ...437L..79C ; 1994ApJ...437L..87D,https://doi.org/10.1086/166465 ; https://doi.org/10.1086/187687 ;  https://doi.org/10.1086/187689,Redshifts from Crampton+1988 but Dinshaw+1994 quote slightly different redshifts. Coordinates from simbad.

Dual AGN Candidate,Mrk 266,Mrk 266NE,,CCD Photometry / Spectroscopy,0.0279,spec,13:38:17.777,+48:16:41.02,J2000,Optical,SDSS,15.0,B,mag,Mrk 266SW,0.0279,spec,13:38:17.3501948813,+48:16:31.903051043,Optical,Gaia,13.42,V,mag,10.1,,Mazzarella+1988,1988ApJ...333..168M,https://doi.org/10.1086/166733,Dual candidate and see earlier papers by Petrosian+1980 Osterbrock+1983 and Kollatschny+1984 about optical spectroscopy.

Binary Quasar / Lens,UM 425,UM 425A,,CCD imaging / Spectroscopy,1.465,spec,11:23:20.7,+01:37:47,J2000,,,15.7,V,mag,UM 425B,1.465,spec,11:23:20.48,+01:37:53.3,,,20.1,V,mag,6.5,,Meylan+1989 ; Kochanek+1993 ; Mathur+2003 ; Aldcroft+2003 ; Green+2005,1989ApJ...338L...1M ; 1993ApJ...417..438K ;  2003ApJ...589L...1M ; 2003ApJ...592..710A ; 2005ApJ...630..142G,https://doi.org/10.1086/185386 ; https://doi.org/10.1086/173324 ; https://doi.org/10.1086/375727 ; https://doi.org/10.1086/375863 ; https://doi.org/10.1086/431946,Despite the original suspicion that this was a gravitational lens candidate Mthur+2003 argue against the lens interpretation and find that the X-ray properties of the sources are incompatible with one another and that the X-ray emission from the potential foreground cluster is unlikely to be the long soughtafter foreground lens ; Aldrcroft confirm many of Mathur's findings but argues that the lens interpretation cannot be completely ruled out. Coordinates from simbad.

Binary Quasar / Lens,Q1429—008,Q1429—008A,,Plate Imaging / Spectroscopic Follow-up / HST Imaging,2.076,spec,14:32:29.2466918428,-01:06:16.091805697,J2000,Optical,Gaia,17.88,V,mag,Q1429—008B,2.076,spec,14:32:29.2466918428,-01:06:16.091805697,Optical,Gaia,17.88,V,mag,5.14,,Hewett+1989 ; Faure+2003,1989ApJ...346L..61H ; 2003A&A...405..415F,https://doi.org/10.1086/185579 ;  https://doi.org/10.1051/0004-6361:20030614,Considered a lens candidate by Hewett+89 but Faure+2003 argue based on VLT and HST data that the system is unlikely to be a lens but rather is a true binary ; note that 1429-008 from Hewett+89 is 1429-0053 from Faure+2003. Coordinates come from Simbad and are not unique (had to be used for both components). Coordinates originally from Gaia.

Binary Quasar,PHL 1222,PHL 1222A,,CCD Imaging / Spectroscopy,1.91,spec,01:53:53.8925288742,+05:02:57.111954574,J2000,Optical,Gaia,17.63,V,mag,PHL 1222A,1.91,spec,01:53:53.8925288742,+05:02:57.111954574,Optical,Gaia,17.63,V,mag,3.3,,Meylan+1990,1990Msngr..59...47M,,Coordinates come from Simbad; unique coordinates not available apparently. Coordinates come from Gaia DR2.

Dual AGN Candidate,Arp 220,Arp 220A,,Infrared Imaging,0.018,spec,15:34:57.22,+23:30:11.4,J2000,,,,,mag,Arp 220B,0.018,spec,15:34:57.28,+23:30:11.3,,,,,mag,0.54698692,,Graham+1990 ; Clements+2002,1990ApJ...354L...5G ; 2002ApJ...581..974C,https://doi.org/10.1086/185709 ; https://doi.org/10.1086/344439,Coordinates come from simbad; no separation shown in the two papers. One if not two hard X-ray sources located in the nuclear regions of this ULIRG.

Binary SMBH Candidate,3C 120,3C 120,Optical Light Curve Variability / Jet Precession,,0.033,spec,04:33:11.0958197353,+05:21:15.617543663,J2000,Optical,Gaia,15.05,V,mag,3C 120,0.033,spec,04:33:11.0958197353,+05:21:15.617543663,Optical,Gaia,15.05,V,mag,3.0379e-5,2e-5,Webb+1990 ; Caproni+2004b,1990AJ.....99...49W ;  2004MNRAS.349.1218C,https://doi.org/10.1086/115311 ; https://doi.org/10.1111/j.1365-2966.2004.07550.x,Coordinates come from Simbad

Binary Quasar / Lens,Q1009-0252,Q1009-0252A,CCD Imaging / Optical Spectroscopic Follow-up,,2.739,spec,10:12:15.89,-03:07:03.1,J2000,Infared,2MASS,18.71,V,mag,Q1009-0252B,2.739,spec,10:12:15.89,-03:07:03.1,Infared,2MASS,18.71,V,mag,1.53,,Hewett+1994 ; Lehár+2000,1994AJ....108.1534H ; 2000ApJ...536..584L,https://doi.org/10.1086/117174 ; Https://doi.org/10.1086/308963,Considered a good candidate for a lens system but the binary hypothesis cannot be ruled out by Hewett+ ; Lehar+2000 identified the lens galaxy in HST imaging

Binary Quasar / Lens,Q1208+1011,Q1208+1011A,CCD Imaging,,3.803,,12:10:57.07,+09:54:27.2,J2000,,,17.5,V,mag,Q1208+1011B,3.803,,12:10:57.06,+09:54:26.7,,,17.5,V,mag,0.45,,Magain+1992 ; Maoz+1992 ; Maoz+1992b ; Hjorn+1995 ; Giallongo+1999,1992A&A...253L..13M ; 1992ApJ...386L...1M ; 1992ApJ...394...51M ; 1995A&A...299..365H ; 1999ApJ...510..605G, NA ; https://doi.org/10.1086/186278 ; https://doi.org/10.1086/171558 ; NA ; https://doi.org/10.1086/306636,Maoz+1992 reported that the quasar was resolved into three images but Maoz+1992b report that follow-up HST images do not show such a third image and therefore the third image was likely an artifact. Thus the binary hypothesis has not yet been ruled out. I think Gaia resolves only a single source (based on Simbad listing).

Binary Quasar,HS 1216+5032,HS 1216+5032A,,Imaging / Spectroscopic Confirmation / VLA Imaging,1.457,spec,12:18:41.0133977187,+50:15:35.870275829,J2000,Optical,Gaia,17.09,V,mag,HS 1216+5032B,1.456,spec,12:18:40.4897806675,+50:15:43.438718453,Optical,Gaia,18.78,V,mag,9.1,,Hagen+1996 ; Lopez+2000 ; Green+2004,1996A&A...308L..25H ; 2000A&A...357...37L ; 2004MNRAS.349.1261G,NA ; NA ; https://doi.org/10.1111/j.1365-2966.2004.07592.x,Redshifts adopted from Green+2004 ; Lopez+ point out that the lens interpreation cannot yet be ruled out. Green+2004 show via VLA imaging that B is a radio loud BAL QSO but A is radio quiet ; by contrast A is brighter in the optical and thus the broadband flux ratios would be in disagreement and time delays are unlikely to account for this discrepancy. This is very likely a true binary pair. Coordinates from Simbad. 

Binary SMBH Candidate,RX J1042+1212,RX J1042+1212,X-ray Selection,Optical Spectroscopy,0.271,spec,10:42:25.7737782010,+12:12:39.877254393,J2000,Optical,Gaia,19.38,V,mag,RX J1042+1212,0.271,spec,10:42:25.7737782010,+12:12:39.877254393,Optical,Gaia,19.38,V,mag,0.048236171,,Puchnarewicz+1996,1996MNRAS.283.1311P,https://doi.org/10.1093/mnras/283.4.1311,Coordinates from Simbad.

Binary SMBH Candidate,OX 169,OX 169,Optical Spectroscopy / Double-peaked Optical Emission lines,,0.21,spec?,21:43:35.5445519361,+17:43:48.787577197,J2000,Optical,Gaia,15.73,V,mag,OX 169,0.21,spec?,21:43:35.5445519361,+17:43:48.787577197,Optical,Gaia,15.73,V,mag,0.058352741,,Stockton+1991,1991ApJ...371..525S,https://doi.org/10.1086/169916,Coordinates from Simbad

Binary SMBH Candidate,3C 390.3,3C 390.3,Optical Spectroscopy / Double-peaked Optical Emission lines,,0.06,spec,18:42:08.9910523393,+79:46:17.129210139,J2000,Optical,Gaia,15.38,V,mag,3C 390.3,0.06,spec,18:42:08.9910523393,+79:46:17.129210139,Optical,Gaia,15.38,V,mag,0.17252888,,Zheng+1991,1991ApJ...381..418Z,https://doi.org/10.1086/170664,Coordinates and redshift from Simbad

Binary SMBH Candidate,1928+738,1928+738,,VLBI Imaging / VSOP Multi-Epoch Imaging,0.3,spec,19:27:48.4944745594,+73:58:01.571908984,J2000,Optical,Gaia,15.5,V,mag,1928+738,0.3,spec,19:27:48.4944745594,+73:58:01.571908984,Optical,Gaia,15.5,V,mag,3.0e-6,,Hummel+1992 ; Roos+1993,1992A&A...257..489H ; 1993ApJ...409..130R ; 2003NewAR..47..633M,NA ; https://doi.org/10.1086/172647 ; https://doi.org/10.1016/S1387-6473(03)00110-6,Coordinates from Simbad. ICRF designation in Simbad.

Binary Quasar / Lens,QJ0240-343AB,QJ0240-343A,,CCD Imaging / Optical Spectroscopy,1.406,spec,02:40:07.8647997024,-34:34:19.121924786,J2000,Optical,Gaia,19.00,V,mag,QJ0240-343B,1.406,spec,02:40:08.3954,-34:34:21.489,,,19.80,V,mag,6.1,,Tinney+1995,1995MNRAS.277..609T,https://doi.org/10.1093/mnras/277.2.609,Likely lens but a binary hypothesis could not be ruled out. Coordinates from simbad

Binary Quasar / Lens,Q2138-431,Q2138-431A,,METHOD??,1.641,spec,21:41:16.4600289695,-42:57:11.052847150,J2000,Optical,Gaia,18.85,V,mag,Q2138-431B,1.641,spec,21:41:16.4600289695,-42:57:11.052847150,Optical,Gaia,18.85,V,mag,4.5,,Hawkins+1997,1997MNRAS.291..811H,https://doi.org/10.1093/mnras/291.4.811,Dark lens hypothesis argued to be the best explanation by Hawkins+1997 but binary interpretation cannot be ruled out. Coordinates taken from Simbad.

Binary Quasar,MGC 2214+3550,MGC 2214+3550A,,CCD Imaging / Spectroscopy,0.88,spec,22:14:56.9724119244,+35:51:25.658404975,J2000,Optical,Gaia,18.80,V,mag,MGC 2214+3550B,0.88,spec,22:14:57.7,+35:51:28,Optical,,19.30,V,mag,3.0,,Muñoz+1998,1998ApJ...492L...9M,https://doi.org/10.1086/311093,Coordinates from Simbad and closrly agree with NED

Binary Quasar / Lens,2153-2056,2153-2056A,,Plate Imaging / Spectroscopy,1.845,spec,21:55:53.5567942426,-20:41:46.392553014,J2000,Optical,Gaia,17.6,V,mag,2153-2056B,1.845,spec,21:55:53.5567942426,-20:41:46.392553014,Optical,Gaia,17.6,V,mag,7.8,Hewitt+1998,1998AJ....115..383H,https://doi.org/10.1086/300224,Coordinates from Simbad and originallu from Gaia.

Binary Quasar / Lens,Q0101.8-3012,Q0101.8-3012A,,Optical Spectroscopy,0.89,spec,,,,,,,,mag,Q0101.8-3012B,0.89,spec,,,,,,,mag,17,,Boyle+1999,1999RSPTA.357..185B,https://doi.org/10.1098/rsta.1999.0322,Few details are provided by Boyle+1999 but it is considered a lens candidate though certainly the binary interpretation cannot be ruled out; the spectra look similar although B has a huge Mg II absorption trough and A does not

Dual AGN / Binary Quasar,FIRST J164311.3+315618,FIRST J164311.3+315618A,,Optical Spectroscopy / Infrared Imaging / Radio Imaging,0.586,spec,16:43:11.3444,+31:56:18.640,J2000,,,19.15,V,mag,FIRST J164311.3+315618B,0.586,spec,16:43:11.38896,+31:56:20.6592,Optical,SDSS,18.40,V,mag,2.3,,Brotherton+1999,1999ApJ...514L..61B,https://doi.org/10.1086/311956,Lens hypthesis ruled out based on extreme differences between the optical flux ratio and radio flux ratio of the two sources ; Source A is a quasar and source B is a Seyfert 1. Coordinates from Simbad

Binary Quasar / Lens,CTQ 839,,CTQ 839A,Optical Imaging / Infrared Imaging / Optical Spectroscopy,2.24,spec,02:52:57.86,-32:49:08.6,J2000,Optical,,18.70,V,mag,CTQ 839B,2.24,spec,02:52:57.91,-32:49:10.6,Optical,,18.70,V,mag,2.1,,Morgan+2000,2000AJ....119.1083M,https://doi.org/10.1086/301271,Spectral dissimilarities and broadband flux ratios as well as lack of lens argue in favor of binary hypothesis

Binary Quasar / Lens,HE 0512-3329,HE 0512-3329,,HST Imaging / Ground-based Spectroscopy,1.565,spec,05:14:10.7833,-33:26:22.504,J2000,Optical,HST,17.68,V,mag,HE 0512-3329,1.565,spec,05:14:10.7687,-33:26:23.121,Optical,HST,18.03,V,mag,0.622,,Gregg+2000,2000AJ....119.2535G,https://doi.org/10.1086/301377,Very likely to be a lens rather than a binary ; redshifts correspond to the redshift of component A. Coordinates from Gregg+ and from Simbad

Binary Quasar,SDSSp J143952.58-003359.2,SDSSp J143952.58-003359.2 (A),,Optical Spectroscopy,4.228,spec,14:39:52.580,-00:33:59.10,J2000,Optical,SDSS,20.56,V,mag,SDSSp J143951.60-003429.2 (B),4.243,spec,14:39:51.601,-00:34:29.15,Optical,SDSS,21.67,V,mag,33.4,,Schneider+2000 ; Fukugita+2004,2000AJ....120.2183S ; 2004ApJ...603L..65F,https://doi.org/10.1086/316834 ; https://doi.org/10.1086/383222,Coordinates from Simbad

Binary Quasar / Lens,RX J0921+4529,RX J0921+4529A,Optical Spectroscopy / Optical Imaging,,1.6535,spec,09:21:12.81,+45:29:04.4,J2000,,,18.71,V,mag,RX J0921+4529B,1.6625,spec,09:21:13.41,+45:29:01.5,,,,,mag,6.93,,Muñoz+2001a,2001ApJ...546..769M,https://doi.org/10.1086/318322,While Muñoz+ concludes that this is very likely a lens system but could not conclusively rule out the binary hypothesis a later paper by Popvic does conclude it is a genuine pair based on spectroscopic observations. Coordinates are unique and come from Simbad (which labels this as a lensed QSO system). Gaia has only one source listed on Simbad.

Binary Quasar / Lens,FBQ 1633+3134,FBQ 1633+3134A,CCD Imaging / Optical Spectroscopy,,1.52,spec,16:33:48.974,+31:34:11.85,J2000,,,17.624,V,mag,FBQ 1633+3134B,1.52,spec,16:33:49.020,+31:34:11.44,,,18.905,V,mag,0.663,,Morgan+2001,2001AJ....121..611M,https://doi.org/10.1086/318744,Considered a good lens candidate but without the detection of a foreground lens candidate the binary hypothesis cannot be ruled out. Coordinates from Simbad.

Binary Quasar,LBQS 0103-2753,LBQS 0103-2753A,,HST UV Spectroscopy,0.834,spec,01:06:21.1833030490,-27:33:49.016652399,J2000,Optical,Gaia,18.3,V,mag,LBQS 0103-2753B,0.858,spec,01:06:21.1833030490,-27:33:49.016652399,Optical,Gaia,18.3,V,mag,0.30,,Junkkarinen+2001,2001ApJ...549L.155J,https://doi.org/10.1086/319173,Coordinates are not unique and are drawn from Simbad

Binary Quasar,SDSS J233646.2-010732.6,SDSS J2336-0107A,,Infrared Imaging / Optical Spectroscopy,1.2853,spec,23:36:46.2,-01:07:32.6,J2000,Optical,,,,mag,SDSS J2336-0107B,1.2871,spec,23:36:45.1,-01:07:32.4,Optical,,,,mag,1.67,,Gregg+2002,2002ApJ...573L..85G,https://doi.org/10.1086/342088,Component B is a FeLoBAL quasar ; the striking differences in the spectra and short time delay rule out a lens interpretation. Coordinates from Gregg+2002

Binary Quasar,LBQS 0015+0239,LBQS 0015+0239A,,CCD Imaging / Optical Spectroscopy,2.4747,spec,00:18:11.3889608936,+02:56:40.091339929,J2000,Optical,Gaia,18.7,V,mag,LBQS 0015+0239B,2.4831,spec,00:18:11.3889608936,+02:56:40.091339929,Optical,Gaia,18.7,V,mag,2.2,,Impey+2002,2002ApJ...574..623I,https://doi.org/10.1086/341064,Binary interpretation is favored for this system due to a lack of a lens ; dissimilarities in the N V and C IV emission line profiles; and the line of sight velocity difference. Coordinates not unique and come from Simbad.

Dual AGN,NGC 6240,NGC 6240 North,,X-ray Imaging,0.0245,spec,16:52:58.98,+02:24:02.8,J2000,Optical,,15.4,I,mag,NGC 6240 South,0.0245,spec,16:52:58.96,+02:24:01.0,Optical,,14.4,I,mag,1.8,,Komossa+2003,2003ApJ...582L..15K,https://doi.org/10.1086/346145,Angular separation is based on optical nuclei and pulled from Komossa+'s introduction; Need to find accurate X-ray positions for sources

Binary SMBH Candidate,3C 66B,3C 66B,,VLBI Phase Reference Imaging,0.0215,spec,02:23:11.41124,+42:59:31.3840,J2000,Radio,ICRF,14.81,V,mag,3C 66B,0.0215,spec,02:23:11.41124,+42:59:31.3840,Radio,ICRF,14.81,V,mag,0.45988364,,Sudou+2003,2003Sci...300.1263S,https://doi.org/10.1126/science.1082817,VLBI phase reference imaging suggests orbital motion on order of year; Sudou+ claim possible presence of binary in addition to jet precession to explain observations

Binary Quasar Candidate,PKS 0537-441,PKS 0537-441,,Optical Spectroscopy / Optical Imaging,0.893,spec,05:38:50.36155219,-44:05:08.9389165,J2000,Radio,VLBI,16.48,V,mag,PKS 0537-441-A1,0.885,spec,05:38:50.36155219,-44:05:08.9389165,Radio,VLBI,16.48,V,mag,3.9,,Heidt+2003,2003A&A...406..565H,https://doi.org/10.1051/0004-6361:20030804,Coordinates come from Simbad; not listed in Heidt's paper. Coordinates are not unique; only coordinates for the primary are available.

Dual AGN Candidate,3C 294,3C 294 W,,AO Infared Imaging / X-ray Imaging,1.786,spec,14:06:44.074,+34:11:24.95,J2000,Radio,VLA,,,mag,3C 294 E,1.786,spec,14:06:44.1459,+34:11:24.91,NIR,,,,mag,0.90,,Stockton+2004,2004ApJ...600..626S,https://doi.org/10.1086/380096,Coordinates for 3C 294 come from McCaryh+94 after conversion to ICRS in paper; VLA imaging at 6cm gives coordinates

Dual AGN Candidate,Arp 299,NGC 3690 E,,X-ray Imaging / X-ray Spectroscopy,0.0010,spec,11:28:33.9,+58:33:43.9,J2000,X-ray,XMM,,,mag,NGC 3690 W,0.0010,spec,11:28:31.326,+58:33:41.80,Infrared,2MASS,12.86,V,mag,22,,Ballo+2004,2004ApJ...600..634B,https://doi.org/10.1086/379887,Need to double check the redshift for this system; Note that Arp 299 is mistakenly claimed to comprise IC 694 and NGC 3690 but IC 694 is a lenticular galaxy not associated with the two primary merging galaxies; our naming convention takes this into account. I quote the XMM 2-10keV X-ray coordinates of the AGNs from Ballo+ to avoid confusion with multiple APG namings but these coordinates are likely not the same exact coordinate as the Chandra source (which was not listed). Separation not based on X-ray coordinates but on work by Heckman. 

Dual AGN,ESO509-IG066,ESO509-IG066E,,X-ray Imaging / X-ray Spectroscopy,0.033223,spec,13:34:40.8,-23:26:45,J2000,X-ray,XMM,,,mag,ESO509-IG066W,0.034307,spec,13:34:39.7,-23:26:48,X-ray,XMM,16.6,V,mag,16,,Guainazzi+2005,2005A&A...429L...9G,https://doi.org/10.1051/0004-6361:200400104,Coordinates correspond to the X-ray positions but the quoted separation is for the optical nuclei

Binary SMBH,CSO 0402+379,CSO 0402+379,,VLBA Imaging,0.055,spec,04:05:49.2627587,+38:03:32.234373,J2000,Radio,VLBA,18.5,V,mag,CSO 0402+379,0.055,spec,04:05:49.2627587,+38:03:32.234373,Radio,VLBA,18.5,V,mag,0.0068,7.3e-3,Maness+2004 ; Rodriguez+2006 ; Morganti+2009,2004ApJ...602..123M ; 2006ApJ...646...49R ; 2009A&A...496L...9M,https://doi.org/10.1086/380919 ; https://doi.org/10.1086/504825 ; https://doi.org/10.1051/0004-6361/200911705,Coordinates from Simbad. Also known as ICRF J040549.2+380332.

Binary SMBH Candidate,3C 345,3C 345,,VLA Imaging,0.5928,spec,16:42:58.8100340220,+39:48:36.999540578,J2000,Optical,Gaia,16.59,V,mag,3C 345,0.5928,spec,16:42:58.8100340220,+39:48:36.999540578,Optical,Gaia,16.59,V,mag,3.00843e-6,2e-5,Caproni+2004a,2004ApJ...602..625C,https://doi.org/10.1086/381195,Coordinates from Simbad

Binary SMBH Candidate,SDSS J1048+0055,SDSS J1048+0055,,Double-Peaked Spectroscopic Emission Lines / VLBA Imaging,0.6422,spec,10:48:07.7446055,+00:55:43.481926,J2000,Radio,VLBA,21.42,V,mag,SDSS J1048+0055,0.6422,spec,10:48:07.7446055,+00:55:43.481926,Radio,VLBA,21.42,V,mag,2.5e-3,,Zhou+2004,2004ApJ...604L..33Z,https://doi.org/10.1086/383310,Double-peaked emission lines considered as two separate NLRs and VLBA imaging reveals two sources separted via roughly 2.5 mas. Coordinates taken from Simbad. ICRF designation on Simbad.

Dual AGN,J0321 455,J0321455N,,Optical Spectroscopy / Radio Imaging,0.0717,spec,03:21:26.121,-45:30:27.05,J2000,Infrared,2MASS,15.79,V,mag,J0321455S,0.0711,spec,03:21:25.7683597022,-45:30:53.542410817,Optical,Gaia,15.59,V,mag,26.3,,Klamer+2004,2004MNRAS.351..101K,https://doi.org/10.1111/j.1365-2966.2004.07757.x,This is a system of radio tailed galaxies akin to 3C 75 and therefore is very likely to be hosting a pair of radio loud AGNs

Binary Quasar,SDSS J1120+6711,SDSS J1120+6711A,,Optical Imaging / NIR Imaging / Optical Spectroscopy,1.49,spec,11:20:12.0987,+67:11:15.880,J2000,Optical,,19.00,V,mag,SDSS J1120+6711B,1.49,spec,11:20:12.0987,+67:11:15.880,Optical,,19.00,V,mag,1.75,,Pindor+2006,2006AJ....131...41P,https://doi.org/10.1086/497965,

Binary Quasar,SDSSJ1600+0000,SDSSJ1600+0000,,,1.01,spec,16:00:15.51,+00:00:45.5,,,,,,mag,,1.01,spec,16:00:15.51,+00:00:45.5,,,,,mag,1.8,,Pindor+2006,2006AJ....131...41P,https://doi.org/10.1086/497965,This is in Hennawi's 2006 catalog

