SDSS,z,Mabs,log10MBH(M_star),Δt(yr),ΔV1(kms-1),ΔV2(kms-1),Error(kms-1),rmax(pc),Last_Observation
J151051.34-010906.3,1.76,-25.5,9.2923,2.0247,17,414,2.89,0.205,05-10-2002
J014209.72-002348.4,1.35,-24.4,8.7042,1.1370,-759,-414,1.80,0.078,10-21-2001
J114924.77-010010.3,1.13,-24.5,8.4314,0.7699,-189,-396,6.27,0.048,02-03-2001
J033211.85+002430.8,0.51,-22.1,8.6316,0.1890,17,-379,4.62,0.031,12-01-2000
J230654.00-001605.6,0.56,-22.9,8.8690,2.9918,-69,379,4.03,0.160,09-02-2003
J082012.62+431358.4,1.07,-24.8,8.5195,0.6794,86,378,2.61,0.051,10-25-2001
J004403.47+151200.0,1.78,-25.6,9.2250,0.1836,-86,374,3.91,0.060,12-01-2000
J003451.86-011125.7,1.84,-25.6,8.8775,1.2822,-34,-362,4.28,0.108,12-18-2001
J020646.97+001800.6,1.68,-25.5,9.0745,0.1781,-51,362,2.78,0.051,11-29-2000
J091621.10+012020.8,2.00,-26.3,9.2819,0.0712,69,-362,2.99,0.041,02-15-2001
J163359.76-004512.6,1.24,-24.2,8.8806,0.0685,69,-349,3.73,0.026,06-01-2000
J014415.12-002349.8,1.71,-25.4,9.5618,1.1370,-51,345,0.91,0.230,10-21-2001
J124502.76+380514.2,1.05,-24.9,8.8668,0.7589,86,-345,5.57,0.084,02-06-2006
J150638.54+573459.1,0.56,-23.8,8.6990,0.0630,0,-343,1.44,0.020,06-19-2001
J164535.42+362712.3,1.81,-26.0,8.0411,1.0219,34,-340,8.91,0.038,05-23-2003
J080915.74+273830.3,1.80,-25.5,8.4768,0.1425,-86,-337,7.88,0.024,01-31-2003
J161052.15+442421.3,1.23,-24.4,8.1199,0.2000,51,-334,1.21,0.019,06-18-2002
J153111.83+442354.6,1.14,-24.7,8.3325,0.0055,69,-329,8.81,0.004,07-13-2002
J025257.18-010220.9,1.25,-24.2,8.7452,0.1671,-17,318,2.47,0.036,11-29-2000
J002028.35-002915.0,1.93,-25.3,8.3291,0.2301,-224,310,3.10,0.026,12-22-2000
J163523.71+134036.6,1.81,-25.3,8.7050,0.0822,17,310,2.06,0.024,06-21-2006
J215213.51-074224.9,0.95,-24.3,8.3290,0.0658,0,310,6.56,0.014,09-21-2001
J102536.43+645242.9,1.37,-24.9,8.3168,0.0438,224,307,3.21,0.011,01-21-2001
J095656.42+535023.2,0.61,-23.1,7.9160,6.1589,362,303,1.74,0.086,03-05-2008
J014905.16+005925.3,1.00,-24.2,8.5702,1.1205,-69,-299,5.93,0.078,10-20-2001
J155631.51+080051.8,1.92,-25.8,8.6527,1.7288,241,-294,4.00,0.108,05-04-2006
J020527.77-005747.6,1.24,-24.7,9.0239,0.1781,-86,293,5.66,0.053,11-29-2000
J075700.70+424814.5,1.17,-24.7,8.9236,0.0192,310,293,2.12,0.016,11-28-2000
J085626.71+570444.7,1.52,-24.6,8.9563,0.1151,0,-293,7.97,0.039,02-02-2001
J004918.98+002609.4,1.95,-26.1,7.9173,0.2767,-258,-289,5.65,0.019,01-04-2001
