Table 1.
Observational properties of quasars with significant periodicity.
Name	RA	Dec.	z	R-mag	log (M/M⊙)	X-ray/radio catalogue
SDSS J150912.07+204004.6	227.300 3130	20.667 9610	0.339	18.7	(7.8945) 8.3484 ± 0.3214	1RXS(X)
SDSS J151053.24+240943.3	227.721 8528	24.162 0337	0.807	19.3	(8.3276) 8.6791 ± 0.3079	
SDSS J151243.67+195845.1	228.181 9980	19.979 2200	0.808	18.1	(8.8351) 9.0038 ± 0.2947	
SDSS J151646.10+221724.7	229.192 1240	22.290 2190	0.599	18.9	(8.6375) 8.6219 ± 0.3102	
SDSS J152739.97+413234.6	231.916 5420	41.542 9560	1.014	17.8	(9.232) 9.0332 ± 0.2935	1WGA(X)
SDSS J152903.11+223623.8	232.262 9760	22.606 6240	0.506	18.5	(8.4734) 8.6349 ± 0.3097	
SDSS J153051.79+503440.1	232.715 8316	50.577 8224	0.928	19.4	(8.8238) 8.7296 ± 0.3058	
SDSS J153251.06+335852.2	233.212 7605	33.981 1873	1.889	18	8.964	
PDS 898	234.242 9720	34.530 4110	0.886	18	(8.737) 8.8062 ± 0.3027	
SDSS J155308.65+501436.5	238.286 0757	550.243 4900	2.774	19.4	(9.2423) 9.4045 ± 0.2783	
SDSS J160322.68+200535.2	240.844 5362	20.093 1253	2.337	19	(9.872) 9.4081 ± 0.2782	
SDSS J160454.57+315733.5	241.227 3914	31.959 3278	3.159	20	(9.2593) 9.3223 ± 0.2817	
SDSS J162634.15+325032.6	246.642 2999	32.842 3962	0.858	19.9	(8.4876) 8.5510 ± 0.3131	
SDSS J170942.58+342316.2	257.427 4310	34.38 7850	1.734	19.4	9.228	CXOX
SDSS J171122.67+342658.9	257.844 4609	34.449 7191	2.132	20.2	(8.7648) 9.0275 ± 0.2937	
SDSS J171617.49+341553.3	259.072 8780	34.264 8190	1.149	18.5	(9.1003) 9.0959 ± 0.2909	
SDSS J171909.93+344001.3	259.791 4157	34.667 0451	2.155	18.2	(9.3335) 9.5742 ± 0.2714	
SDSS J212939.60+004845.5	322.415 0072	0.812 6513	2.266	19.8	(9.2628) 9.1732 ± 0.2878	
SDSS J214036.77+005210.1	325.153 2346	0.869 4920	0.92	20.2	(8.8142) 8.5087 ± 0.3148	
SDSS J214225.29+001643.2	325.605 4161	0.278 6872	1.26	19.5	(8.497) 8.7333 ± 0.3057	
SDSS J214357.98+003349.6	325.991 6181	0.563 8052	2.338	20.2	9.355	
PKS 2203-215	331.672 5000	−21.327 7778	0.577	18.8	(8.907) 8.6280 ± 0.3100	XMMSL(X),1RXS(X), NVSS(R)
SDSS J224008.39+263928.4	340.034 9874	26.657 9024	2.827	19	(9.2615) 9.5240 ± 0.2735	
SDSS J231733.66+001128.3	349.390 2730	0.191 2120	0.841	18.2	8.898	3XMM(X), 1RXS(X)
SDSS J232135.73+173916.5	350.398 8982	17.654 6025	0.842	19.4	(9.1391) 8.6755 ± 0.3080	1SXPS(X)
2QZ J235800.2−281429	359.501 1112	−28.241 3889	1.598	19.1	(8.9538) 9.1415 ± 0.2891	
SDSS J235928.99+170426.9	359.870 8046	17.074 1612	0.714	18.6	(8.995) 8.8004 ± 0.3029	
