Table 2.
Summary of observations. NIQ=nearly identical quasar, assigned to systems of quasars at the same redshift but without photometric detection of a lensing galaxy. Selection shows the quasar catalogue and Gaia technique with which the candidate was selected: S=single, D=double, T=triple. All dates are in 2017. WISE magnitudes and colours are given in the AB system.
Name	RA	Dec.	Selection	W1 − W2, W1	Gaia G	Date, Exp. Time	Outcome
J1540+4445	235.10759	44.75457	D+GMM/WISE	0.09, 17.37	19.73, 20.37	1 Apr, 600s	NIQ, z = 0.61
J1551+3157	237.77584	31.95027	S+GMM/WISE	0.04, 17.41	20.48	31 Mar, 1200s	inconclusive, (z = 2.27?)
J1554+2616	238.54871	26.27657	D+GMM/WISE	0.07, 17.88	18.95, 20.03	31 Mar, 600s	quasar + star
J1602+4526	240.70535	45.43528	S+GMM	−0.23, 17.50	20.17	31 Mar, 2700s	lens, z = 2.16, zlens = 0.43
J1606−2333	241.50074	−23.55612	D+WISE	0.64, 16.42	18.74, 18.88	31 Mar, 2400s	quad lens, z = 1.69
J1611+5756	242.98266	57.93872	S+GMM/WISE	0.09, 17.74	20.24	31 Mar, 600s	galaxies at z = 0.257
J1617−2146	244.25462	−21.76683	D+WISE	0.65, 18.15	19.75, 20.39	1 Apr, 1500s	inconclusive, likely stars
J1617−2305	244.34009	−23.09620	D+WISE	0.73, 18.19	18.95, 19.23	13 Sep, 1200s	quasar+star
J1640+1045	250.07549	10.75175	D+GMM/WISE	0.13, 17.02	18.12, 19.87	31 Mar, 3000s	lens, z = 1.7
J1709+3828	257.36966	38.46700	D+WISE	−0.01, 17.31	20.07, 20.33	31 Mar, 2650s	lens, z = 1.38
J1710+4332	257.74257	43.54287	S+GMM	−0.50, 18.27	20.49	31 Mar, 2100s	lens, z = 3.08
J1721+8842	260.45419	88.70621	D+WISE	0.28, 15.65	17.97, 18.24	13 Sep, 4800s	quad lens, z = 2.37
J1821+6005	275.37642	60.09062	S+WISE	0.53, 18.20	19.96	13 Sep, 1800s	NIQ, z = 2.05
J1831+5447	277.86360	54.79965	D+WISE	0.10, 16.23	18.79, 19.86	12 Sep, 1200s	lens, z = 1.07
J2018−3015	304.73256	−30.26574	T+WISE	0.32, 16.21	18.26, 18.52, 19.72	12 Sep, 900s	stars+galaxy
J2032−2358	308.15741	−23.97291	D+WISE	0.72, 17.59	19.04, 19.17	13 Sep, 1200s	NIQ, z = 1.64
J2057+0217	314.46696	2.29683	D+GMM/WISE	0.81, 18.17	20.06, 20.10	12 Sep, 1200s	NIQ, z = 1.52
J2058−0744	314.53051	−7.74705	D+WISE	0.51, 17.97	19.72, 19.75	13 Sep, 600s	quasar+star
J2111+1349	317.80707	13.82978	S+WISE	0.70, 17.83	19.74	13 Sep, 600s	quasar+star
J2124+1632	321.07029	16.53841	S+GMM/WISE	0.40, 16.48	19.11	12 Sep, 1200s	lens, z= 1.28
J2302−2813	345.74028	−28.22055	S+WISE	0.80, 17.67	18.40	12 Sep, 600s	quasar+star
J2305+3714	346.48273	37.23932	D+WISE	0.25, 16.35	17.55, 18.71	12 Sep, 1200s	lens, z = 1.78
