Table 4 
Double-peaked [O III] AGNs without Companions within 3"


SDSS Name	z	DeltaV	R	Imager	Exptime	UT	Seeing	IFS	Reference	
095834.0+251235	0.116	336	4	NIRC2/Kp	480	110106	0.9	0	1	
095920.5+422142	0.153	292	 ... 	NIRC2/Kp	480	110106	0.8	0	1	
100145.3+283330	0.116	513	 ... 	NIRC2/Kp	360	110106	0.8	0	3	
100654.2+464717	0.123	303	4	NIRC2/Kp	480	110106	0.8	0	1	
101241.2+215556*	0.111	257	 ... 	NIRC2/Kp	420	110105	0.5	0	3	
102004.4+324343*	0.484	381	 ... 	NIRC2/Kp	420	110105	0.5	0	3	
103138.7+380652*	0.492	734	 ... 	NIRC2/Kp	600	110105	0.5	0	3	
105052.5+083935	0.169	351	 ... 	NIRC2/Kp	480	110106	0.9	1	1	
111013.2+053339*	0.152	755	 ... 	NIRC2/Kp	600	110105	0.4	0	3	
112659.5+294443	0.102	319	 ... 	NIRC2/Kp	120	110106	0.9	0	1,2	
112907.1+575605	0.313	314	36	NIRC2/Kp	540	110106	0.9	0	1	
113021.0+022212*	0.241	402	 ... 	NIRC2/Kp	640	110105	0.4	0	3	
113045.3+505509*	0.592	252	 ... 	NIRC2/Kp	420	110105	0.4	0	3	
113105.1+610405*	0.338	427	 ... 	NIRC2/Kp	600	110105	0.4	0	3	
113257.8+604654*	0.233	353	 ... 	NIRC2/Kp	420	110105	0.3	0	3	
114852.7+151416*	0.113	306	 ... 	NIRC2/Kp	420	110105	0.4	0	3	
114908.5+144547*	0.595	208	 ... 	NIRC2/Kp	420	110105	0.4	0	3	
115249.3+190300	0.097	323	9	NIRC2/Kp	448	100603	0.6	0	1,2	
120240.7+263139*	0.476	466	66	NIRC2/Kp	192	100604	0.4	0	3	
120320.7+131931	0.058	292	156	NIRC2/Kp	224	100603	0.6	0	2	
121911.2+042906*	0.555	459	 ... 	NIRC2/Kp	64	100603	0.7	0	3	
121957.5+190003	0.117	390	 ... 	NIRC2/Kp	448	100603	0.6	0	1	
131106.7+195234	0.156	314	 ... 	NIRC2/Kp	448	100603	0.7	0	1	
131236.0+500416	0.116	353	16	NIRC2/Kp	128	100604	0.4	0	2	
132104.6-001446	0.082	330	 ... 	NIRC2/Kp	448	100603	0.7	0	1	
140231.6+021546	0.180	276	2553	NIRC2/Kp	448	100603	0.7	0	1	
140534.8+244735	0.130	218	3	NIRC2/Kp	224	100604	0.4	0	1	
140845.7+353218	0.166	371	16	NIRC2/Kp	448	100603	0.7	0	1	
144012.8+615633*	0.275	505	2	NIRC2/Kp	320	100603	0.7	1	3	
144157.2+094859	0.220	826	61	NIRC2/Kp	320	100604	0.4	0	3	
145156.8+301603	0.158	512	 ... 	NIRC2/Kp	320	100603	0.8	0	1	
150437.7+541150*	0.305	719	 ... 	NIRC2/Kp	256	100603	0.7	1	3	
150452.3+321415	0.113	250	7	NIRC2/Kp	384	100603	0.8	0	2	
151659.2+051752	0.051	326	8	NIRC2/Kp	160	100604	0.5	0	1,2	
151757.4+114453	0.227	433	 ... 	NIRC2/Kp	320	100603	0.7	0	3	
152606.2+414014	0.008	281	30	WFPC2/F606W	500	940828	 ... 	0	2	
153231.8+420343*	0.209	353	 ... 	NIRC2/Kp	448	100604	0.4	1	3	
155009.6+080839	0.232	400	23	NIRC2/Kp	128	100604	0.3	0	1	
160027.8+083743	0.227	422	3765	NIRC2/Kp	320	100604	0.3	0	1	
160436.2+500958	0.146	366	 ... 	NIRC2/Kp	320	100604	0.3	0	1,2	
160631.4+273643	0.158	319	9	NIRC2/Kp	128	100604	0.4	0	1	
161826.9+081951*	0.446	384	137	NIRC2/Kp	160	100603	0.6	1	3	
161847.9+215925*	0.334	365	5	NIRC2/Kp	160	100603	0.6	1	3	
163056.8+164957	0.034	301	2	NIRC2/Kp	192	100604	0.5	0	1	
163316.0+262716	0.071	307	 ... 	NIRC2/Kp	320	100603	0.6	0	2	
171544.0+600835	0.157	348	62	NIRC2/Kp	320	100603	0.6	0	1,3	
171930.6+293413*	0.180	1105	2	NIRC2/Kp	224	100603	0.6	1	3	
230442.8-093345	0.032	320	8	NIRC2/Kp	320	100603	0.7	0	1,2	
231052.0-090012	0.094	329	138	ACS/F606W	720	050819	 ... 	0	1,2	
233313.2+004912	0.170	434	1234	NIRC2/Kp	384	100603	0.7	1	1	
235256.6+001155	0.167	322	 ... 	NIRC2/Kp	384	100604	0.5	1	1	
Notes. Observing log and properties of the 75 dpAGNs without close companions in HST or Keck/LGSAO images. Column 1: J2000 designation. Type-1s are indicated by stars. Column 2: redshift. Column 3: velocity splitting between [O III] lambda5007 components. Column 4: Kellermann et al. (1989) radio loudness, $R = F_{\nu,\rm 5\, GHz}/F_{\nu,\rm 4400A}$. Column 5: name of the imager and filter. Column 6: total exposure time of the image. Column 7: UT date (yymmdd) of the image. Column 8: outside seeing at 5000 Aring during the imaging observation. Column 9: IFS data available? 1 - yes, 0 - no. Column 10: source references - (1) Liu et al. 2010b; (2) Wang et al. 2009; and (3) Smith et al. 2010.
