,zem1,Sep1,RA1,Dec1,zem2,RA2,Dec2,Equinox,Coordinate_waveband,Coordinate_Source,delta_z,dV,Sep(kpc),Paper(s),bibcode(s),DOI(s),RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,index
11,2.2,213.5,22:40:26.2,+0:39:38.0,2.2,22:40:40.1,+0:40:24.0,J2000,NA,NA,0.0,0.0,1764.7812735142427,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,340.1091666666666,0.6605555555555556,340.1670833333333,0.6733333333333333,11
12,2.464,59.09,13:48:8.7,+28:40:7.0,2.464,13:48:4.4,+28:40:24.0,J2000,NA,NA,0.0,0.0,478.4559295197239,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,207.03625,28.66861111111111,207.01833333333332,28.673333333333336,12
13,2.028,160.61,17:18:45.0,+30:26:47.0,2.028,17:18:37.2,+30:28:52.0,J2000,NA,NA,0.0,0.0,1342.3456392952878,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,259.68749999999994,30.44638888888889,259.655,30.481111111111108,13
14,2.002,169.84,16:50:51.1,+34:43:10.0,1.984,16:50:43.3,+34:45:30.0,J2000,NA,NA,0.017999999999999794,1798.1795307725897,1421.5569647923353,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,252.71291666666664,34.71944444444445,252.68041666666662,34.75833333333333,14
15,3.714,141.24,13:2:16.91,-3:38:3.7,3.718,13:2:8.17,-3:37:10.5,J2000,NA,NA,-0.0040000000000000036,-253.60470417690544,1011.5018829331151,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,195.5704583333333,-3.634361111111111,195.53404166666664,-3.6195833333333334,15
16,2.606,239.1,15:54:7.74,+1:0:10.1,2.63,15:53:59.96,+0:56:41.4,J2000,NA,NA,-0.02400000000000002,-1983.3944330923318,1912.12139746174,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,238.53224999999998,1.0028055555555555,238.4998333333333,0.9448333333333333,16
17,3.23,61.52,21:42:25.9,-44:20:17.0,3.22,21:42:22.2,-44:19:30.0,J2000,NA,NA,0.009999999999999787,707.6913165626892,463.0889992756201,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,325.6079166666666,-44.338055555555556,325.5924999999999,-44.325,17
18,2.299,261.94,9:45:5.93,-0:46:45.0,2.292,9:44:54.24,-0:43:30.4,J2000,NA,NA,0.007000000000000117,635.1077648865706,2149.4392304883554,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,146.27470833333334,-0.7791666666666667,146.22599999999997,-0.7251111111111112,18
19,2.477,194.21,9:46:42.43,+33:7:54.8,2.484,9:46:56.17,+33:6:25.8,J2000,NA,NA,-0.007000000000000117,-601.3497725855,1570.796176650135,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,146.67679166666665,33.13188888888889,146.73404166666666,33.10716666666667,19
20,3.105,196.41,12:9:17.94,+11:38:30.4,3.122,12:9:10.71,+11:35:45.2,J2000,NA,NA,-0.016999999999999904,-1235.6820946477417,1497.254523588044,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,182.32475,11.641777777777778,182.29462499999997,11.59588888888889,20
21,3.244,190.91,8:3:5.84,+50:32:15.3,3.245,8:3:21.24,+50:34:17.4,J2000,NA,NA,-0.0009999999999998899,-70.44410315723641,1435.0220873627102,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,120.77433333333333,50.53758333333333,120.8385,50.5715,21
22,3.254,232.24,12:38:15.04,+44:30:26.2,3.268,12:38:31.46,+44:32:58.2,J2000,NA,NA,-0.01399999999999979,-982.3958467011507,1743.9133518237138,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,189.56266666666664,44.50727777777778,189.6310833333333,44.549499999999995,22
23,3.319,269.47,8:36:59.84,+35:10:19.4,3.311,8:37:0.83,+35:5:50.2,J2000,NA,NA,0.008000000000000007,554.344830704977,2010.0967852970698,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,129.2493333333333,35.17205555555555,129.25345833333333,35.097277777777784,23
24,3.745,225.9,8:7:44.89,+23:48:25.7,3.76,8:7:35.01,+23:51:26.4,J2000,NA,NA,-0.01499999999999968,-943.7114845550635,1612.6125121589841,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,121.93704166666667,23.80713888888889,121.89587499999999,23.857333333333333,24
25,2.365,119.68,15:9:25.64,+50:56:9.3,2.343,15:9:32.23,+50:57:51.5,J2000,NA,NA,0.02200000000000024,1961.2192147927155,977.0040896726093,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,227.3568333333333,50.935916666666664,227.38429166666663,50.964305555555555,25
26,2.514,138.3,11:43:16.98,+13:24:0.8,2.515,11:43:23.44,+13:25:42.0,J2000,NA,NA,-0.001000000000000334,-85.07611152321167,1115.0360182443142,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,175.82074999999998,13.400222222222222,175.84766666666664,13.428333333333333,26
27,2.98,13.75,11:16:10.68,+41:18:14.5,2.971,11:16:11.73,+41:18:21.5,J2000,NA,NA,0.008999999999999897,676.8951206389352,106.12997901622396,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,169.0445,41.304027777777776,169.04887499999998,41.305972222222216,27
