index,System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,RA1_deg,Dec1_deg,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,RA2_deg,Dec2_deg,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),delta_z,dV,Paper(s),BibCode(s),DOI(s),Notes
11,Dual AGN Candidate,J080740+390015,J080740+390015,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.02346,spec,08:07:40,+39:00:15,121.91666666666666,39.00416666666667,J2000,Optical,SDSS,-100.0,-100,-100,J080740+390015,0.02346,spec,08:07:40,+39:00:15,121.91666666666666,39.00416666666667,Optical,SDSS,-100.0,-100,-100,3.0,1.4202540380334192,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
12,Dual AGN Candidate,J080841+481351,J080841+481351,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12365,spec,08:08:41,+48:13:51,122.17083333333329,48.23083333333334,J2000,Optical,SDSS,-100.0,-100,-100,J080841+481351,0.12365,spec,08:08:41,+48:13:51,122.17083333333329,48.23083333333334,Optical,SDSS,-100.0,-100,-100,3.0,6.659523797189282,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
13,Dual AGN Candidate,J081430+265729,J081430+265729,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.07874,spec,08:14:30,+26:57:29,123.62499999999997,26.958055555555553,J2000,Optical,SDSS,-100.0,-100,-100,J081430+265729,0.07874,spec,08:14:30,+26:57:29,123.62499999999997,26.958055555555553,Optical,SDSS,-100.0,-100,-100,3.0,4.464912820048983,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
14,Dual AGN Candidate,J082107+502115,J082107+502115,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.09534,spec,08:21:07,+50:21:15,125.27916666666664,50.35416666666667,J2000,Optical,SDSS,-100.0,-100,-100,J082107+502115,0.09534,spec,08:21:07,+50:21:15,125.27916666666664,50.35416666666667,Optical,SDSS,-100.0,-100,-100,3.0,5.303379005296285,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
15,Dual AGN Candidate,J085416+502631,J085416+502631,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.09553,spec,08:54:16,+50:26:31,133.56666666666666,50.44194444444444,J2000,Optical,SDSS,-100.0,-100,-100,J085416+502631,0.09553,spec,08:54:16,+50:26:31,133.56666666666666,50.44194444444444,Optical,SDSS,-100.0,-100,-100,3.0,5.312786133114904,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
16,Dual AGN Candidate,J085512+642345,J085512+642345,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.03621,spec,08:55:12,+64:23:45,133.79999999999998,64.39583333333334,J2000,Optical,SDSS,-100.0,-100,-100,J085512+642345,0.03621,spec,08:55:12,+64:23:45,133.79999999999998,64.39583333333334,Optical,SDSS,-100.0,-100,-100,3.0,2.1588374172675815,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
17,Dual AGN Candidate,J085841+104122,J085841+104122,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.1481,spec,08:58:41,+10:41:22,134.67083333333332,10.689444444444444,J2000,Optical,SDSS,-100.0,-100,-100,J085841+104122,0.1481,spec,08:58:41,+10:41:22,134.67083333333332,10.689444444444444,Optical,SDSS,-100.0,-100,-100,3.0,7.760297737162247,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
18,Dual AGN Candidate / Recoil Candidate / Binary SMBH Candidate,J094124+394441,J094124+394441,Double-Peaked Optical Spectroscopic Emission Lines / Wing or X-Shaped Radio Source,-99,0.1075,spec,09:41:24,+39:44:41,145.34999999999997,39.74472222222222,J2000,Optical,SDSS,-100.0,-100,-100,J094124+394441,0.1075,spec,09:41:24,+39:44:41,145.34999999999997,39.74472222222222,Optical,SDSS,-100.0,-100,-100,3.0,5.896994725751895,0.0,0.0,Sandage+1966 ; Dennett-Thorpe+2002 ; Merritt+2002 ; Wang+2009, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M ; 2009ApJ...705L..76W, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1088/0004-637X/705/1/L76,
19,Dual AGN Candidate,J094427+144717,J094427+144717,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.07744,spec,09:44:27,+14:47:17,146.11249999999998,14.788055555555555,J2000,Optical,SDSS,-100.0,-100,-100,J094427+144717,0.07744,spec,09:44:27,+14:47:17,146.11249999999998,14.788055555555555,Optical,SDSS,-100.0,-100,-100,3.0,4.397842973221638,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
20,Dual AGN Candidate,J095528+383827,J095528+383827,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.06124,spec,09:55:28,+38:38:27,148.86666666666665,38.64083333333333,J2000,Optical,SDSS,-100.0,-100,-100,J095528+383827,0.06124,spec,09:55:28,+38:38:27,148.86666666666665,38.64083333333333,Optical,SDSS,-100.0,-100,-100,3.0,3.54437680600795,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
21,Dual AGN Candidate,J095833-005118,J095833-005118,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08587,spec,09:58:33,-00:51:18,149.6375,-0.855,J2000,Optical,SDSS,-100.0,-100,-100,J095833-005118,0.08587,spec,09:58:33,-00:51:18,149.6375,-0.855,Optical,SDSS,-100.0,-100,-100,3.0,4.829100592380168,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
22,Dual AGN Candidate,J101143+325943,J101143+325943,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12974,spec,10:11:43,+32:59:43,152.92916666666665,32.99527777777778,J2000,Optical,SDSS,-100.0,-100,-100,J101143+325943,0.12974,spec,10:11:43,+32:59:43,152.92916666666665,32.99527777777778,Optical,SDSS,-100.0,-100,-100,3.0,6.939630394242839,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
23,Dual AGN Candidate,J101346-005451,J101346-005451,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.04243,spec,10:13:46,-00:54:51,153.44166666666666,-0.9141666666666667,J2000,Optical,SDSS,-100.0,-100,-100,J101346-005451,0.04243,spec,10:13:46,-00:54:51,153.44166666666666,-0.9141666666666667,Optical,SDSS,-100.0,-100,-100,3.0,2.510974683698495,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
24,Dual AGN Candidate,J101348+002014,J101348+002014,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.11711,spec,10:13:48,+00:20:14,153.45,0.3372222222222222,J2000,Optical,SDSS,-100.0,-100,-100,J101348+002014,0.11711,spec,10:13:48,+00:20:14,153.45,0.3372222222222222,Optical,SDSS,-100.0,-100,-100,3.0,6.354223209395901,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
25,Dual AGN Candidate,J102325+324348,J102325+324348,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12701,spec,10:23:25,+32:43:48,155.85416666666666,32.730000000000004,J2000,Optical,SDSS,-100.0,-100,-100,J102325+324348,0.12701,spec,10:23:25,+32:43:48,155.85416666666666,32.730000000000004,Optical,SDSS,-100.0,-100,-100,3.0,6.814560420983371,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
26,Dual AGN Candidate,J104813+442710,J104813+442710,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.13972,spec,10:48:13,+44:27:10,162.05416666666665,44.45277777777778,J2000,Optical,SDSS,-100.0,-100,-100,J104813+442710,0.13972,spec,10:48:13,+44:27:10,162.05416666666665,44.45277777777778,Optical,SDSS,-100.0,-100,-100,3.0,7.390094404297986,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
27,Dual AGN Candidate,J105653+331945,J105653+331945,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.05104,spec,10:56:53,+33:19:45,164.2208333333333,33.32916666666667,J2000,Optical,SDSS,-100.0,-100,-100,J105653+331945,0.05104,spec,10:56:53,+33:19:45,164.2208333333333,33.32916666666667,Optical,SDSS,-100.0,-100,-100,3.0,2.9897953544689995,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
28,Dual AGN Candidate,J110215+290725,J110215+290725,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10603,spec,11:02:15,+29:07:25,165.56249999999997,29.12361111111111,J2000,Optical,SDSS,-100.0,-100,-100,J110215+290725,0.10603,spec,11:02:15,+29:07:25,165.56249999999997,29.12361111111111,Optical,SDSS,-100.0,-100,-100,3.0,5.82613644624566,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
29,Dual AGN Candidate,J110821+591851,J110821+591851,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08572,spec,11:08:21,+59:18:51,167.08749999999998,59.314166666666665,J2000,Optical,SDSS,-100.0,-100,-100,J110821+591851,0.08572,spec,11:08:21,+59:18:51,167.08749999999998,59.314166666666665,Optical,SDSS,-100.0,-100,-100,3.0,4.821502219796642,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
30,Dual AGN Candidate,J110832+195128,J110832+195128,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10317,spec,11:08:32,+19:51:28,167.1333333333333,19.85777777777778,J2000,Optical,SDSS,-100.0,-100,-100,J110832+195128,0.10317,spec,11:08:32,+19:51:28,167.1333333333333,19.85777777777778,Optical,SDSS,-100.0,-100,-100,3.0,5.687569545726651,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
31,Dual AGN Candidate,J110957+020138,J110957+020138,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.06322,spec,11:09:57,+02:01:38,167.48749999999998,2.027222222222222,J2000,Optical,SDSS,-100.0,-100,-100,J110957+020138,0.06322,spec,11:09:57,+02:01:38,167.48749999999998,2.027222222222222,Optical,SDSS,-100.0,-100,-100,3.0,3.6504692697306984,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
32,Dual AGN Candidate,J111042+030033,J111042+030033,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10752,spec,11:10:42,+03:00:33,167.67499999999998,3.0091666666666668,J2000,Optical,SDSS,-100.0,-100,-100,J111042+030033,0.10752,spec,11:10:42,+03:00:33,167.67499999999998,3.0091666666666668,Optical,SDSS,-100.0,-100,-100,3.0,5.897957090194246,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
33,Dual AGN Candidate,J111054+012936,J111054+012936,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12946,spec,11:10:54,+01:29:36,167.72499999999997,1.4933333333333334,J2000,Optical,SDSS,-100.0,-100,-100,J111054+012936,0.12946,spec,11:10:54,+01:29:36,167.72499999999997,1.4933333333333334,Optical,SDSS,-100.0,-100,-100,3.0,6.926839541875564,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
34,Dual AGN Candidate,J111201+275053,J111201+275053,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.04743,spec,11:12:01,+27:50:53,168.00416666666663,27.848055555555554,J2000,Optical,SDSS,-100.0,-100,-100,J111201+275053,0.04743,spec,11:12:01,+27:50:53,168.00416666666663,27.848055555555554,Optical,SDSS,-100.0,-100,-100,3.0,2.7902418909852926,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
35,Dual AGN Candidate,J111333+165711,J111333+165711,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.05343,spec,11:13:33,+16:57:11,168.3875,16.953055555555554,J2000,Optical,SDSS,-100.0,-100,-100,J111333+165711,0.05343,spec,11:13:33,+16:57:11,168.3875,16.953055555555554,Optical,SDSS,-100.0,-100,-100,3.0,3.1209609000790683,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
36,Dual AGN Candidate,J111803+062657,J111803+062657,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12781,spec,11:18:03,+06:26:57,169.5125,6.449166666666667,J2000,Optical,SDSS,-100.0,-100,-100,J111803+062657,0.12781,spec,11:18:03,+06:26:57,169.5125,6.449166666666667,Optical,SDSS,-100.0,-100,-100,3.0,6.851293991622276,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
37,Dual AGN Candidate,J112659+294442,J112659+294442,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.1018,spec,11:26:59,+29:44:42,171.7458333333333,29.745,J2000,Optical,SDSS,-100.0,-100,-100,J112659+294442,0.1018,spec,11:26:59,+29:44:42,171.7458333333333,29.745,Optical,SDSS,-100.0,-100,-100,3.0,5.6208607825521355,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
38,Dual AGN Candidate,J113126-020459,J113126-020459,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.14641,spec,11:31:26,-02:04:59,172.85833333333332,-2.0830555555555557,J2000,Optical,SDSS,-100.0,-100,-100,J113126-020459,0.14641,spec,11:31:26,-02:04:59,172.85833333333332,-2.0830555555555557,Optical,SDSS,-100.0,-100,-100,3.0,7.686221140383079,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
39,Dual AGN Candidate,J113630+135848,J113630+135848,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08173,spec,11:36:30,+13:58:48,174.12499999999997,13.98,J2000,Optical,SDSS,-100.0,-100,-100,J113630+135848,0.08173,spec,11:36:30,+13:58:48,174.12499999999997,13.98,Optical,SDSS,-100.0,-100,-100,3.0,4.618388523859301,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
40,Dual AGN Candidate,J113759+143733,J113759+143733,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08103,spec,11:37:59,+14:37:33,174.4958333333333,14.625833333333334,J2000,Optical,SDSS,-100.0,-100,-100,J113759+143733,0.08103,spec,11:37:59,+14:37:33,174.4958333333333,14.625833333333334,Optical,SDSS,-100.0,-100,-100,3.0,4.582555535748122,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
41,Dual AGN Candidate,J114047+445208,J114047+445208,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.06917,spec,11:40:47,+44:52:08,175.1958333333333,44.86888888888889,J2000,Optical,SDSS,-100.0,-100,-100,J114047+445208,0.06917,spec,11:40:47,+44:52:08,175.1958333333333,44.86888888888889,Optical,SDSS,-100.0,-100,-100,3.0,3.9662773341409254,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
42,Dual AGN Candidate,J114249+102700,J114249+102700,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.1187,spec,11:42:49,+10:27:00,175.70416666666662,10.45,J2000,Optical,SDSS,-100.0,-100,-100,J114249+102700,0.1187,spec,11:42:49,+10:27:00,175.70416666666662,10.45,Optical,SDSS,-100.0,-100,-100,3.0,6.428880230869604,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
43,Dual AGN Candidate,J114610-022619,J114610-022619,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.12251,spec,11:46:10,-02:26:19,176.54166666666666,-2.4386111111111113,J2000,Optical,SDSS,-100.0,-100,-100,J114610-022619,0.12251,spec,11:46:10,-02:26:19,176.54166666666666,-2.4386111111111113,Optical,SDSS,-100.0,-100,-100,3.0,6.606643480310497,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
44,Dual AGN Candidate,J114840-021637,J114840-021637,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.08481,spec,11:48:40,-02:16:37,177.16666666666666,-2.276944444444444,J2000,Optical,SDSS,-100.0,-100,-100,J114840-021637,0.08481,spec,11:48:40,-02:16:37,177.16666666666666,-2.276944444444444,Optical,SDSS,-100.0,-100,-100,3.0,4.7753473676439455,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
45,Dual AGN Candidate,J115028+044141,J115028+044141,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.04037,spec,11:50:28,+04:41:41,177.61666666666665,4.6947222222222225,J2000,Optical,SDSS,-100.0,-100,-100,J115028+044141,0.04037,spec,11:50:28,+04:41:41,177.61666666666665,4.6947222222222225,Optical,SDSS,-100.0,-100,-100,3.0,2.3949349186903413,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
46,Dual AGN Candidate,J115249+190300,J115249+190300,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.09666,spec,11:52:49,+19:03:00,178.20416666666665,19.05,J2000,Optical,SDSS,-100.0,-100,-100,J115249+190300,0.09666,spec,11:52:49,+19:03:00,178.20416666666665,19.05,Optical,SDSS,-100.0,-100,-100,3.0,5.368646462393227,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
47,Dual AGN Candidate,J115548+110159,J115548+110159,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10506,spec,11:55:48,+11:01:59,178.95,11.033055555555556,J2000,Optical,SDSS,-100.0,-100,-100,J115548+110159,0.10506,spec,11:55:48,+11:01:59,178.95,11.033055555555556,Optical,SDSS,-100.0,-100,-100,3.0,5.779244806053661,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
48,Dual AGN Candidate,J120320+131931,J120320+131931,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.05844,spec,12:03:20,+13:19:31,180.83333333333334,13.325277777777778,J2000,Optical,SDSS,-100.0,-100,-100,J120320+131931,0.05844,spec,12:03:20,+13:19:31,180.83333333333334,13.325277777777778,Optical,SDSS,-100.0,-100,-100,3.0,3.3934862726518773,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
49,Dual AGN Candidate,J120357+280856,J120357+280856,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.06934,spec,12:03:57,+28:08:56,180.98749999999998,28.148888888888887,J2000,Optical,SDSS,-100.0,-100,-100,J120357+280856,0.06934,spec,12:03:57,+28:08:56,180.98749999999998,28.148888888888887,Optical,SDSS,-100.0,-100,-100,3.0,3.975234643317013,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
50,Dual AGN Candidate,J120802+230430,J120802+230430,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.07363,spec,12:08:02,+23:04:30,182.0083333333333,23.075,J2000,Optical,SDSS,-100.0,-100,-100,J120802+230430,0.07363,spec,12:08:02,+23:04:30,182.0083333333333,23.075,Optical,SDSS,-100.0,-100,-100,3.0,4.200076629668507,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
51,Dual AGN Candidate,J121311+650818,J121311+650818,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.13541,spec,12:13:11,+65:08:18,183.29583333333332,65.13833333333334,J2000,Optical,SDSS,-100.0,-100,-100,J121311+650818,0.13541,spec,12:13:11,+65:08:18,183.29583333333332,65.13833333333334,Optical,SDSS,-100.0,-100,-100,3.0,7.196846651274389,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
52,Dual AGN Candidate,J121527+000109,J121527+000109,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.10033,spec,12:15:27,+00:01:09,183.86249999999998,0.019166666666666665,J2000,Optical,SDSS,-100.0,-100,-100,J121527+000109,0.10033,spec,12:15:27,+00:01:09,183.86249999999998,0.019166666666666665,Optical,SDSS,-100.0,-100,-100,3.0,5.549042163566296,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
53,Dual AGN Candidate,J123524+060810,J123524+060810,Double-Peaked Optical Spectroscopic Emission Lines,-99,0.09413,spec,12:35:24,+06:08:10,188.84999999999997,6.136111111111112,J2000,Optical,SDSS,-100.0,-100,-100,J123524+060810,0.09413,spec,12:35:24,+06:08:10,188.84999999999997,6.136111111111112,Optical,SDSS,-100.0,-100,-100,3.0,5.243371056612988,0.0,0.0,Wang+2009,2009ApJ...705L..76W,https://doi.org/10.1088/0004-637X/705/1/L76,
