System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

(%)Binary AGN Candidate,NGC 5548,NGC 5548,Optical Spectroscopy / Double-Peaked Optical Spectroscopic Emission Lines,,0.01627,spec,14:17:59.5401093128,+25:08:12.600227883,J2000,Optical,Gaia,13.73,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.60388229,,Peterson+1987 ; Sergeev+1997 ; Sergeev+2007 ; Li+2016; Bon+2016 ; Ilić+2017,1987ApJ...312L...1P ; 1997A&A...320..405S ; 2007ApJ...668..708S ; 2016ApJ...822....4L ; 2016ApJS..225...29B ; 2017FrASS...4...12I,https://doi.org/10.1086/184808 ; https://articles.adsabs.harvard.edu/full/1997A%26A...320..405S ; https://doi.org/10.1086/520697 ; https://doi.org/10.3847/0004-637X/822/1/4 ; https://doi.org/10.3847/0067-0049/225/2/29 ; https://doi.org/10.3389/fspas.2017.00012,Distinct BLR emitting regions can be plausibly explained via a dual AGN scenario. Not conclusive at this point. Redshift adopted from Simbad. Sergeev+97 looked at OIII wings and I'm not sure how relevant this paper is. Sergeev+07 looked at 30 years of and fonud no evidence of Hbeta line and continuum variability except for in 1972-1988; no obvious support for binary scenario. Both Bon+ and Li+ claim periodicity in this object based on long baseline observations (several decades); Bon+ suggests the periodicity could be due to a stellar mass body impacting the accretion disk of the SMBH; Li+ propose a binary SMBH model can explain the periodicity of 14 years (but only ~2 cycles have been observed). Ilic+2017 really only brings this up in the context of the Li+ result and how a binary could affect the mass measurements from reverberation mapping.

Binary Quasar / Lens,0023+171,0023+171 AB_opt,Radio Imaging,Optical Imaging / Radio Imaging / Optical Spectroscopy,0.946,spec,00:25:36.971,+17:28:04.97,J2000,Optical,SDSS,21.91,B,mag,0023+171 C,0.946,spec,00:23:01.01,+17:11:28.,J1950,Optical,SDSS,21.91,B,mag,4.8,,Hewitt+1987,1987ApJ...321..706H,https://doi.org/10.1086/165663,Separation of optical sources AB_opt and C is 4.8 arcsec but separation of radio sources is roughly 5.9 arcsec. Coordinates come from Simbad (and originally from SDSS). Check with Barry.

(%)Binary SMBH Candidate,Arp 102B,Arp 102B,Double-peaked Optical Emission Lines / Optical Spectroscopy,,0.02417,,17:19:14.4925747,+48:58:49.426017,J2000,Radio,VLBA,14.81,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.4104008,,Halpern+1988 ; Miller+1990 ; Halpern+1992 ; Eracleous+1997 ; Gezari+2007 ; Liu+2016 ; Doan+2020,1988Natur.331...46H ; 1990ApJ...361...98M ; 1992AIPC..254...57H ; 1997ApJ...490..216E ; 2007ApJS..169..167G ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D, https://doi.org/10.1038/331046a0 ; https://doi.org/10.1063/1.42243 ; https://doi.org/10.1086/169170 ; https://doi.org/10.1086/304859 ; https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Halpern+1988 test binary hypothesis based on offset broad emission line but no firm conclusion made. Other papers conclude that binary hypothesis can be ruled out. Coordinates from Simbad. Redshift from Ned agrees with Simbad to 3 decimal points. Eracleous+ place lower limit of 10^10 for the mass of the SMBHs in the binary scenario. The constraints they place argue against the binary hypothesis. Gezari+ argue against a binary hypothesis. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ argue strongly against binary hypothesis based on multiple arguments including estimates on the lower limit on the mass of the putative binary.

(%)Binary SMBH Candidate,3C 332,3C 332,Double-peaked Emission lines / Optical Spectroscopy,,0.1510000,spec,16:17:42.5380089648,+32:22:34.372277976,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Halpern+1992 ; Eracleous+1997 ; Gezari+2007 ; Liu+2016 ; Doan+2020,1992AIPC..254...57H ; 1997ApJ...490..216E ; 2007ApJS..169..167G ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1063/1.42243 ; https://doi.org/10.1086/304859 ; https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Halpern+ search for orbital motion but do not find evidence. Eracleous+ argue against a binary hypothesis. Gezari+ argue against a binary hypothesis. No regular variability observed. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ estimated lower limits on the mass of the putative binary and argues against the binary hypothesis in this system for multiple reasons.

Binary SMBH Candidate,OJ 287,OJ 287,Periodicity,,0.306,spec,08:54:48.8749311881,+20:06:30.642936668,J2000,Optical,Gaia,15.43,V,mag,OJ 287 companion,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.2146e-5,1.e-4,Salanpää+1988 ; Rieger+2007 ; Sandrinelli+2016,1988ApJ...325..628S ; 2007Ap&SS.309..271R ; 2016AJ....151...54S,https://doi.org/10.1086/166033 ; https://doi.org/10.1007/s10509-007-9467-y ; https://doi.org/10.3847/0004-6256/151/3/54,Proposed as a SMBH binary with separation ~0.1pc. Sandrinelli+2016 report peaks at ~435 days in NIR bands and ~410 days in gamma rays. Rieger+007 list it in their table of binayr candidates.

Binary Quasar / Lens,1343.4+2640,1343.4+2640A,Plate identification,Spectroscopy,2.0312,spec,13:45:43.6422351780,+26:25:06.826057566,J2000,Optical,Gaia,20.22,V,mag,1343.4+2640B,2.0313,spec,13:45:44.500,+26:25:06.00,J2000,Optical,KODIAQ,19.68,V,mag,9.5,,Crampton+1988 ; Crotts+1994 ; Dinshaw+1994,1988ApJ...330..184C ; 1994ApJ...437L..79C ; 1994ApJ...437L..87D,https://doi.org/10.1086/166465 ; https://doi.org/10.1086/187687 ;  https://doi.org/10.1086/187689,Redshifts from Crampton+1988 but Dinshaw+1994 quote slightly different redshifts. Coordinates from simbad.

Dual AGN,Mrk 266,Mrk 266NE,,CCD Photometry / Spectroscopy / X-ray Spectroscopy and Imaging,0.0279,spec,13:38:17.777,+48:16:41.02,J2000,Optical,SDSS,15.0,B,mag,Mrk 266SW,0.0279,spec,13:38:17.3501948813,+48:16:31.903051043,J2000,Optical,Gaia,13.42,V,mag,10.1,,Mazzarella+1988 ; Brassington+2007 ; Wang+2010 ; Mazzarella+2012 ; Torres-Albda+2018 ; Iwasawa+2020,1988ApJ...333..168M ; 2007MNRAS.377.1439B ; 2010RAA....10..309W ; 2012AJ....144..125M ; 2018A&A...620A.140T ; 2020A&A...640A..95I,https://doi.org/10.1086/166733 ; https://doi.org/10.1111/j.1365-2966.2007.11763.x ; https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1088/0004-6256/144/5/125 ; https://doi.org/10.1051/0004-6361/201834105 ; https://doi.org/10.1051/0004-6361/202038513,See earlier papers by Petrosian+1980 Osterbrock+1983 and Kollatschny+1984 about optical spectroscopy. Iwasawa+ confirm via NuSTAR that the AGN in the SW nucleus is Compton thick in agreement with that inferred from earlier Chandra observations. Brassington+ was first to suggest presence of X-ray AGNs though results were not firm. Mazzarrella+ confirmed Chandra sources and was first to propose that SW source was Compton-thick and the primary driver of the iron line seen in XMM imaging and spectra while the northern LINER nucleus was a a less obscured AGN.

Binary Quasar / Lens,UM 425,UM 425A,,CCD imaging / Spectroscopy,1.465,spec,11:23:20.7,+01:37:47,J2000,,,15.7,V,mag,UM 425B,1.465,spec,11:23:20.48,+01:37:53.3,J2000,,,20.1,V,mag,6.5,,Meylan+1989 ; Kochanek+1993 ; Mathur+2003 ; Aldcroft+2003 ; Green+2005,1989ApJ...338L...1M ; 1993ApJ...417..438K ;  2003ApJ...589L...1M ; 2003ApJ...592..710A ; 2005ApJ...630..142G,https://doi.org/10.1086/185386 ; https://doi.org/10.1086/173324 ; https://doi.org/10.1086/375727 ; https://doi.org/10.1086/375863 ; https://doi.org/10.1086/431946,Despite the original suspicion that this was a gravitational lens candidate Mthur+2003 argue against the lens interpretation and find that the X-ray properties of the sources are incompatible with one another and that the X-ray emission from the potential foreground cluster is unlikely to be the long soughtafter foreground lens ; Aldrcroft confirm many of Mathur's findings but argues that the lens interpretation cannot be completely ruled out. Coordinates from simbad.

Binary Quasar,Q1429-008 / LBQS 1429-0053,Q1429-008A / LBQS 1429-0053A,Optical Imaging?,Optical Imaging / Optical Spectroscopy / Near-IR Imaging,2.076,spec,14:32:29.2466918428,-01:06:16.091805697,J2000,Optical,Gaia,17.88,V,mag,Q1429-008B / LBQS 1429-0053B,2.076,spec,RELATIVE,RELATIVE,J2000,Optical,Gaia,17.88,V,mag,5.14,,Hewett+1989 ; Faure+2003,1989ApJ...346L..61H ; 2003A&A...405..415F,https://doi.org/10.1086/185579 ;  https://doi.org/10.1051/0004-6361:20030614,Considered a lens candidate by Hewett+89 but Faure+2003 argue based on VLT and HST data that the system is unlikely to be a lens but rather is a true binary ; note that 1429-008 from Hewett+89 is 1429-0053 from Faure+2003. Coordinates come from Simbad and are not unique (had to be used for both components). Coordinates originally from Gaia. Faure+ give coordinates to B relative to A. Check with Barry. Redshifts identical within the noise.

Binary Quasar,PHL 1222,PHL 1222A (Q0151+048A),Optical Imaging,Optical Imaging / Optical Spectroscopy,1.92930,spec,01:53:53.8925288742,+05:02:57.111954574,J2000,Optical,Gaia,17.63,V,mag,PHL 1222B (Q0151+048B),1.92863,spec,-99,-99,-99,-99,-99,-99,-99,-99,3.3,,Meylan+1990 ; Zafar+2011,1990Msngr..59...47M ; 2011A&A...532A..51Z,NA ; https://doi.org/10.1051/0004-6361/201016332,Coordinates come from Simbad; unique coordinates not available apparently. Coordinates come from Gaia DR2. Double check the name designation from Meylan+90. Spec-z's come from Zafar+. Check with Barry.

Dual AGN Candidate,Arp 220,Arp 220A,Near-Infrared Imaging,Near-Infrared Imaging / Near-Infrared Colors / X-ray imaging / X-ray Spectroscopy,0.0180,-99,15:34:57.22,+23:30:11.4,J2000,-99,Simbad,,,mag,Arp 220B,0.0182,-99,15:34:57.28,+23:30:11.3,J2000,-99,Simbad,,,mag,0.95,,Graham+1990 ; Clements+2002 ; Imanishi+2014,1990ApJ...354L...5G ; 2002ApJ...581..974C ; 2014ApJ...780..106I,https://doi.org/10.1086/185709 ; https://doi.org/10.1086/344439 ; https://doi.org/10.1088/0004-637X/780/1/106,Coordinates come from simbad; no separation shown in the two papers. One if not two hard X-ray sources located in the nuclear regions of this ULIRG. Imanishi+ identify both nuclei are IR AGNs using their near-IR color criterion. Nuclear angular sep based on near-IR imaging of Meylan.

Binary SMBH Candidate,3C 120,3C 120,Optical Light Curve Variability / Jet Precession,,0.033,spec,04:33:11.0958197353,+05:21:15.617543663,J2000,Optical,Gaia,15.05,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.0379e-5,2e-5,Webb+1990 ; Caproni+2004b ; Vol'vach+2010 ; Du+2018,1990AJ.....99...49W ; 2004MNRAS.349.1218C ; 2010ARep...54...28V ; 2018ApJ...869..142D,https://doi.org/10.1086/115311 ; https://doi.org/10.1111/j.1365-2966.2004.07550.x ; https://doi.org/10.1134/S106377291001004X ; https://doi.org/10.3847/1538-4357/aaed2c,Coordinates come from Simbad. Du+2018 measured Hbeta velocity time-lags in this object in a preliminary reverberation-mapping investigation and found that the velocity-resolved results showed complex structures different from simple inflow outflow or virialized motions. 

Binary Quasar / Lens!!,Q1009-0252,Q1009-0252A,Optical Imaging,Near-IR Imaging / Optical Imaging / Optical Spectroscopy / Rejected by Lehar+,2.739,spec,10:12:15.89,-03:07:03.1,J2000,Infared,2MASS,18.71,V,mag,Q1009-0252B,2.739,spec,RELATIVE,RELATIVE,J2000,-99,-99,-99,-99,-99,1.53,,Hewett+1994 ; Lehár+2000,1994AJ....108.1534H ; 2000ApJ...536..584L,https://doi.org/10.1086/117174 ; https://doi.org/10.1086/308963,Considered a good candidate for a lens system but the binary hypothesis cannot be ruled out by Hewett+ ; Lehar+2000 identified the lens galaxy in HST imaging. May need to go back and cite Surdej+94.

Binary Quasar / Lens,Q1208+1011,Q1208+1011A,Optical Imaging,Near-IR Imaging / Optical Imaging  / Optical Spectroscopy / Radio Imaging,3.803,,12:10:57.07,+09:54:27.2,J2000,,,-99,-99,-99,Q1208+1011B,3.803,,12:10:57.06,+09:54:26.7,J2000,,,-99,-99,-99,0.474,,Magain+1992 ; Maoz+1992 ; Maoz+1992b ; Hjorn+1995 ; Giallongo+1999 ; Lehár+2000,1992A&A...253L..13M ; 1992ApJ...386L...1M ; 1992ApJ...394...51M ; 1995A&A...299..365H ; 1999ApJ...510..605G ; 2000ApJ...536..584L, NA ; https://doi.org/10.1086/186278 ; https://doi.org/10.1086/171558 ; NA ; https://doi.org/10.1086/306636 ; https://doi.org/10.1086/308963,Maoz+1992 reported that the quasar was resolved into three images but Maoz+1992b report that follow-up HST images do not show such a third image and therefore the third image was likely an artifact. Hjorn and Lehar find no lens galaxy. Giallongo+ argue in favor of lens  based on proximity effect. Thus the binary hypothesis has not yet been ruled out. I think Gaia resolves only a single source (based on Simbad listing). Lehar fails to find a lense galaxy. We're missing papers by bahcall+92.

Binary Quasar,HS 1216+5032,HS 1216+5032A,,Imaging / Spectroscopic Confirmation / VLA Imaging,1.457,spec,12:18:41.0133977187,+50:15:35.870275829,J2000,Optical,Gaia,17.09,V,mag,HS 1216+5032B,1.456,spec,12:18:40.4897806675,+50:15:43.438718453,J2000,Optical,Gaia,18.78,V,mag,9.1,,Hagen+1996 ; Lopez+2000 ; Green+2004,1996A&A...308L..25H ; 2000A&A...357...37L ; 2004MNRAS.349.1261G,NA ; NA ; https://doi.org/10.1111/j.1365-2966.2004.07592.x,Redshifts adopted from Green+2004 ; Lopez+ point out that the lens interpreation cannot yet be ruled out. Green+2004 show via VLA imaging that B is a radio loud BAL QSO but A is radio quiet ; by contrast A is brighter in the optical and thus the broadband flux ratios would be in disagreement and time delays are unlikely to account for this discrepancy. This is very likely a true binary pair. Coordinates from Simbad. 

(%)Binary AGN Candidate,RX J1042+1212,RX J1042+1212,Serendipitous / Double-Peaked Optical Spectroscopic Emission Lines,Long-Slit Optical Spectroscopy / X-ray Spectroscopy,0.271,spec,10:42:25.7737782010,+12:12:39.877254393,J2000,Optical,Gaia,19.38,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.048236171,,Puchnarewicz+1996,1996MNRAS.283.1311P,https://doi.org/10.1093/mnras/283.4.1311,Coordinates from Simbad. Check with Barry.

(%)Binary AGN Candidate,OX 169,OX 169,Double-peaked Optical Emission lines,Long-Slit Optical Spectroscopy / Optical Imaging / Near-IR Imaging,0.21,spec?,21:43:35.5445519361,+17:43:48.787577197,J2000,Optical,Gaia,15.73,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.058352741,,Stockton+1991,1991ApJ...371..525S,https://doi.org/10.1086/169916,Coordinates from Simbad. Stockton+ suggests the presence of two distinct BLRs based on the double-peaks in the Balmer-line profiles. Binary is a possibility but so are other interpretations. Check with Barry.

(%)Binary SMBH Candidate,3C 390.3,3C 390.3,Optical Spectroscopy / Double-peaked Optical Emission lines / Radial Velocity Shift / Jet Precession,,0.06,spec,18:42:08.9910523393,+79:46:17.129210139,J2000,Optical,Gaia,15.38,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.17252888,,Zheng+1991 ; Gaskell+1996 ; Eracleous+1997 ; Shapovalova+2001 ; Gezari+2007 ; Liu+2016 ; Krause+2019 ; Doan+2020,1991ApJ...381..418Z ; 1996ApJ...464L.107G ; 1997ApJ...490..216E ; 2001A&A...376..775S ; 2007ApJS..169..167G ; 2016ApJ...817...42L ; 2019MNRAS.482..240K ; 2020MNRAS.491.1104D,https://doi.org/10.1086/170664 ; https://doi.org/10.1086/310119 ; https://doi.org/10.1086/304859; https://doi.org/10.1051/0004-6361:20011011 ; https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/sty2558 ; https://doi.org/10.1093/mnras/stz2705,Coordinates and redshift from Simbad. Gaskell claims constant radial velocity change in Hbeta line over a 20 year period. If due to orbital motion SMBHs are separated by ~0.3pc. Shapovalova+2001 dismiss the binary hypothesis and find that the emission can be modeled by an inclined accretion disk. Eracleous+ also dismissed the binary hypothesis due to the fact that the velocity shifts observed by Gaskell+ do not follow the extrapolation of the binary model using data points from a longer baseline. They also observe that the trend in velocity of the red peak of the Halpha line is also not consistent with orbital models. Gezari+ also argue against binary and find no correlation between the coherent regions of the profile that vary across decades. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ strongly disfavor binary hypothesis based on multiple tests including estimates on the lower mass limit for the putative binary. Krause+ claims jet precession. Not sure where the separation here comes from.

Binary SMBH Candidate,1928+738,1928+738,VLBI Imaging / VSOP Multi-Epoch Imaging / VLBA Imaging,,0.3,spec,19:27:48.4944745594,+73:58:01.571908984,J2000,Optical,Gaia,15.5,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.0e-6,,Hummel+1992 ; Roos+1993 ; Murphy+2003 ; Kun+2014,1992A&A...257..489H ; 1993ApJ...409..130R ; 2003NewAR..47..633M ; 2014MNRAS.445.1370K,NA ; https://doi.org/10.1086/172647 ; https://doi.org/10.1016/S1387-6473(03)00110-6 ; https://doi.org/10.1093/mnras/stu1813,Coordinates from Simbad. ICRF designation in Simbad. Kun+2014 essentially agrees with the model from Roos+93. Using VLBA data they find that a binary black hole model where the jet emitter is spinning can best explain the observed properties of the jet but they cannot rule out other possibilities. I think Murphy+ is also in agreement with Roos+?. Hummel+ originally investigated the SMBH binary hypothesis but seemed to reject it based on the estimated binary separation.

(%)Binary Quasar / Lens,QJ0240-343AB,QJ0240-343A,Serendipitous / UV Imaging / Optical Imaging,Optical Imaging / Long-Slit Optical Spectroscopy,1.406,spec,02:40:07.8647997024,-34:34:19.121924786,J2000,Optical,Gaia,19.00,V,mag,QJ0240-343B,1.406,spec,02:40:08.3954,-34:34:21.489,J2000,,,19.80,V,mag,6.1,,Tinney+1995,1995MNRAS.277..609T,https://doi.org/10.1093/mnras/277.2.609,Likely lens but a binary hypothesis could not be ruled out. Coordinates from simbad. Check with Barry about whether this is long slit or not.

Binary Quasar / Lens,Q2138-431,Q2138-431A,Optical Imaging,Optical Imaging / Long-Slit Optical Spectroscopy,1.641,spec,21:41:16.4600289695,-42:57:11.052847150,J2000,Optical,Gaia,18.85,V,mag,Q2138-431B,1.641,spec,-99,-99,-99,-99,-99,-99,-99,-99,4.5,,Hawkins+1997,1997MNRAS.291..811H,https://doi.org/10.1093/mnras/291.4.811,Dark lens hypothesis argued to be the best explanation by Hawkins+1997 but binary interpretation cannot be ruled out. Coordinates taken from Simbad.

Binary Quasar,MGC 2214+3550,MGC 2214+3550A,,CCD Imaging / Spectroscopy,0.88,spec,22:14:56.9724119244,+35:51:25.658404975,J2000,Optical,Gaia,18.80,V,mag,MGC 2214+3550B,0.88,spec,22:14:57.7,+35:51:28,J2000,Optical,,19.30,V,mag,3.0,,Muñoz+1998,1998ApJ...492L...9M,https://doi.org/10.1086/311093,Coordinates from Simbad and closrly agree with NED

Binary Quasar / Lens,2153-2056,2153-2056A,Optical Imaging,Optical Imaging / Near-IR Imaging / Long-Slit Optical Spectroscopy,1.845,spec,21:55:53.5567942426,-20:41:46.392553014,J2000,Optical,Gaia,17.6,V,mag,2153-2056B,1.85,spec,-99,-99,-99,-99,-99,-99,-99,-99,7.8,,Hewitt+1998,1998AJ....115..383H,https://doi.org/10.1086/300224,Coordinates from Simbad and originallu from Gaia. Check with Barry.

(%)Binary Quasar / Lens,Q0101.8-3012,Q0101.8-3012A,,Optical Spectroscopy,0.89,spec,,,J2000,,,,,mag,Q0101.8-3012B,0.89,spec,,,J2000,,,,,mag,17,,Boyle+1999,1999RSPTA.357..185B,https://doi.org/10.1098/rsta.1999.0322,Few details are provided by Boyle+1999 but it is considered a lens candidate though certainly the binary interpretation cannot be ruled out; the spectra look similar although B has a huge Mg II absorption trough and A does not. Not obvious what the optical spectra were (long slit/fiber/etc). Check with Barry.

(%)Dual AGN,FIRST J164311.3+315618,FIRST J164311.3+315618A,Serendipitous / Optical Imaging,Long-Slit Optical Spectroscopy / Infrared Imaging / Radio Imaging / Optical Imaging,0.586,spec,16:43:11.3444,+31:56:18.640,J2000,,,19.15,V,mag,FIRST J164311.3+315618B,0.586,spec,16:43:11.38896,+31:56:20.6592,J2000,Optical,SDSS,18.40,V,mag,2.3,,Brotherton+1999 ; Kunert-Bajraszewska+2011,1999ApJ...514L..61B ; 2011ApJ...736..125K,https://doi.org/10.1086/311956 ; https://doi.org/10.1088/0004-637X/736/2/125,Lens hypthesis ruled out based on extreme differences between the optical flux ratio and radio flux ratio of the two sources ; Source A is a quasar and source B is a Seyfert 1. Coordinates from Simbad. One is radio loud and the other is radio quiet.

(%)Binary Quasar,CTQ 839,CTQ 839A,Optical Imaging,Optical Imaging / Infrared Imaging / Long-Slit Optical Spectroscopy,2.24,spec,02:52:57.86,-32:49:08.6,J2000,Optical,,18.70,V,mag,CTQ 839B,2.24,spec,02:52:57.91,-32:49:10.6,J2000,Optical,,18.70,V,mag,2.1,,Morgan+2000,2000AJ....119.1083M,https://doi.org/10.1086/301271,Spectral dissimilarities and broadband flux ratios as well as lack of lens argue in favor of binary hypothesis

Binary Quasar / Lens,HE 0512-3329,HE 0512-3329,,HST Imaging / Ground-based Spectroscopy,1.565,spec,05:14:10.7833,-33:26:22.504,J2000,Optical,HST,17.68,V,mag,HE 0512-3329,1.565,spec,05:14:10.7687,-33:26:23.121,J2000,Optical,HST,18.03,V,mag,0.622,,Gregg+2000,2000AJ....119.2535G,https://doi.org/10.1086/301377,Very likely to be a lens rather than a binary ; redshifts correspond to the redshift of component A. Coordinates from Gregg+ and from Simbad

(%)Binary Quasar,SDSSp J143952.58-003359.2,SDSSp J143952.58-003359.2 (A),Optical Imaging,Long-Slit Optical Spectroscopy / Optical Imaging,4.228,spec,14:39:52.580,-00:33:59.10,J2000,Optical,SDSS,20.56,V,mag,SDSSp J143951.60-003429.2 (B),4.243,spec,14:39:51.601,-00:34:29.15,J2000,Optical,SDSS,21.67,V,mag,33.4,,Schneider+2000 ; Fukugita+2004,2000AJ....120.2183S ; 2004ApJ...603L..65F,https://doi.org/10.1086/316834 ; https://doi.org/10.1086/383222,Coordinates from Simbad. Check with Barry.

