Name,RA,Dec,Methods,Grade,Notes
KIDS1421+0157,14:21:31,+01:57:53,Multiplet,2.5,Possible Arc
KIDS1429-0203,14:29:09,-02:03:03,DIA,2.0,
KIDS1435+0215,14:35:07,+02:15:56,BaROQuES,2.0,
KIDS1442-0147,14:42:14.,-01:47:40,BaROQuES,2.5,
KIDS1442-0126,14:42:18,-01:26:24,BaROQuES,2.0,
KIDS1448-0216,14:48:40,-02:16:23,BaROQuES,2.0,
KIDS1449+0045,14:59:15,+00:45:07,BaROQuES,2.0,
KIDS1453+0039,14:53:47,+00:39:27,BaROQuES,2.5,One of the components has a QSO-like SDSS spectrum (z = 1.093)
KIDS1459-0241,14:59:57,-02:41:46,BaROQuES,2.0,
KIDS1518+0056,15:18:42,+00:56:09,BaROQuES,1.5,Caution: the components seem to have different colours
KIDS1530-0034,15:30:02,-00:34:15,BaROQuES,1.5,
KIDS1544-0009,15:44:55,-00:09:34,BaROQuES,1.5,
KIDS1547-0014,15:47:19,-00:14:21,BaROQuES,1.5,
KIDS1550+0221,15:50:57,+02:21:46,DIA,2.5,Caution: the components seem to have different colours
KIDS1551-0009,15:51:34,-00:09:02,BaROQuES,1.5,
KIDS2204-3222,22:04:22,-32:22:57,BaROQuES,2.5,
KIDS2219-3056,22:19:45,-30:56:01,BaROQuES,2.0,
KIDS2224-3154,22:24:53,-31:54:35,DIA,2.5,
KIDS2228-2837,22:28:46,-28:37:48,BaROQuES,2.5,
KIDS2232-3220,22:32:07,-32:20:22,BaROQuES,3.0,Very low separation between components <0.2 arcsec
KIDS2232-3417,22:32:29,-34:17:04,Multiplet,2.0,
KIDS2236-3400,22:36:56,-34:00:02,DBaROQuES,2.0,
KIDS2241-3404,22:41:54,-34:04:42,BaROQuES,2.0,
KIDS2243-3428,22:43:37,-34:28:20,BaROQuES,2.0,Possible QUAD however colours are not convincing
KIDS2259-3218,22:59:16,-32:18:41,BaROQuES,2.0,Possible QUAD
KIDS2300-3104,23:00:12,-31:04:07,DIA,2.5,
KIDS2318-3222,23:18:06,-32:22:17,DIA,2.5,
KIDS2335-3042,23:35:49,-30:42:05,BaROQuES,2.5,
