J125327.50+254747.4  0.483  680 44.26 1.  m 0.48532
J125439.39+021100.6  0.404  225 44.10 1.  m 0.40492
J130724.08+460400.9* 0.353  580 43.98 1.  g 0.35382 0.35174
J131018.47+250329.5  0.313  180 44.10 1.8 m 0.31339 0.31336
J131611.76+310500.2  0.377  240 44.36 1.  m 0.37720 0.37719
J131642.90+175332.5* 0.150  450 43.77 2.  g 0.15093 0.14999
J132318.82+030807.1  0.269  615 43.91 2.  g 0.26990 0.26871
J132701.41+202306.1  0.571  350 44.36 2.  m 0.57118
J132855.78+213532.5  0.135  550 43.70 2.  g 0.13580 0.13468
J133226.34+060627.3  0.207  420 43.87 2.  g 0.20738 0.20653
J133455.24+612042.1  0.495  215 44.31 1.  g 0.49561
J134415.75+331719.1  0.686  730 44.81 2.  g 0.68619
J135024.66+240251.4  0.557  240 44.49 1.  m 0.55816
J140209.36+621025.8  0.330  280 44.15 1.  g 0.33052
J140318.10+164959.6  0.455  340 44.46 1.  m 0.45653
J140500.14+073014.1  0.135  340 43.39 2.  m 0.13572 0.13506
J140646.11+234821.0  0.519  310 44.55 1.  m 0.51943
J140816.02+015528.3  0.166  350 43.39 2.  g 0.16649 0.16587
J140923.51-012430.5  0.405  270 44.21 1.  g 0.40548
J141316.06+020346.9  0.507  540 44.43 1.  m 0.50889
J141431.04-003042.9  0.138  400 43.41 2.  m 0.13893 0.13783
J141445.99+370202.1  0.260  340 44.09 1.  g 0.26069
J143135.43-011159.8  0.560  490 44.55 1.  g 0.56214
J144012.74+615633.0  0.275  800 44.57 1.  g 0.27619
J144102.38+390114.5  0.176  290 43.80 2.  m 0.17685 0.17614
J144105.64+180507.9  0.107  280 43.59 1.  m 0.10736 0.10668
J144157.24+094859.1* 0.220  810 43.76 2.  g 0.22238 0.21986
J144541.30+334107.8  0.131  400 43.52 2.  g 0.13156 0.13100
J144748.79+624444.7  0.230  870 43.87 1.  m 0.23036
J145110.04+490813.5  0.156  220 43.81 1.  m 0.15632 0.15606
J145336.31+204357.5  0.116  520 43.58 2.  g 0.11699 0.11572
J145408.36+240521.3  0.535  300 44.64 1.  g 0.53578
J145538.76+401913.0  0.461  240 44.38 1.  g 0.46170
J145717.69+110412.4  0.462  200 44.21 1.  m 0.46210
J150125.57+111356.6  0.151  940 43.89 1.  m 0.15179 0.15179
J150243.09+111557.3  0.390  720 44.51 1.  g 0.39326
J150437.67+541149.6  0.305  700 44.43 1.  g 0.30770
J151518.29+551535.3  0.513  250 44.93 1.  m 0.51436
J151656.59+183021.5  0.580  360 44.28 2.  g 0.58167
J151709.20+335324.7* 0.135  700 43.39 1.  g 0.13664 0.13562
J151735.17+214532.5  0.399  500 44.45 1.  g 0.40092
J151757.36+114452.6  0.227  400 43.79 2.  g 0.22767 0.22701
J151842.95+244026.0  0.561  280 44.43 2.  g 0.56174 0.55550
J151944.90+191353.3  0.245  600 43.87 1.  m 0.24500 0.24488
J152117.30+075955.4  0.463  500 44.78 1.  m 0.46382
J152327.57+262940.7  0.236  540 44.05 2.  m 0.23723 0.23636
J152431.41+323750.6  0.629  350 43.81 2.  g 0.63083
J152506.63+022425.1  0.337  320 44.79 1.  m 0.33783
J153231.80+420342.7  0.210  300 44.02 1.  g 0.21002 0.20948
J153301.43+070513.7  0.354  510 44.30 1.  m 0.35340
J153423.19+540809.0  0.215  290 43.68 1.  g 0.21553 0.21464
J153714.71+121150.8  0.148  320 43.77 2.  m 0.14842 0.14770
J153944.11+343503.9  0.551  400 44.18 2.  g 0.55237
J154040.50+185402.9  0.137  180 43.27 1.9 g 0.13761 0.13705
J154107.81+203608.8  0.508  400 44.32 1.  g 0.50924
J154637.12+122832.5  0.386  430 44.30 1.  m 0.39956
J154713.92+103359.8  0.638  360 44.70 1.  m 0.63887
J155634.15+105616.7  0.449  420 44.48 1.  m 0.44990
J155645.97+241828.5  0.220  530 44.12 2.  g 0.22078 0.21950
J160659.57+083514.6  0.187  380 43.76 2.  m 0.18745 0.18661
J161027.41+130806.8  0.229  290 43.97 1.  g 0.22948 0.22868
J161141.95+495847.9  0.116  265 43.59 1.  m 0.11689 0.11643
J161826.93+081950.7  0.446  340 45.05 1.  g 0.44655
J161847.93+215925.4  0.335  320 44.71 1.  g 0.33573 0.33429
J161925.50+161032.9  0.134  540 43.62 2.  g 0.13444 0.13340
J162345.20+080851.1  0.199  470 43.98 2.  g 0.19941 0.19857
J165603.68+261722.1  0.467  210 44.16 1.  m 0.46697
J170056.01+243928.2  0.508  960 44.99 1.  m 0.50918
J171544.02+600835.4  0.157  350 43.70 2.  g 0.15728 0.15648
J171647.40+310403.1  0.275  345 43.89 1.9 m 0.27589 0.27471
J171850.29+304201.5  0.282  700 44.23 1.  m 0.28226
J171930.56+293412.8  0.180 1000 43.81 2.  g 0.18432
J172507.11+274038.4  0.490  400 44.19 1.  m 0.49115
J210449.13-000919.1  0.135  380 43.41 2.  m 0.13596 0.13523
